"Ita Seejiq ga tru ta dntulan kari, kiya ka Toda, Truku ni Tgdaya.","我們賽德克族擁有三個方言群，即都達、德路固及德固達雅等方言群。","https://web.klokah.tw/text/sound/25929/428544.mp3"
"kana ka pusu nniqan rudan ta Nantow jenaysyang ni wada thjil Hwareynsen syowrinsyang, Cowsisiyang, Wanjungsyang ni Iransen Tatungsyang dha ka Nanawsyang.","包括祖居地南投縣的仁愛鄉，移居地花蓮縣秀林鄉、卓溪鄉、萬榮鄉，以及宜蘭縣大同鄉與南澳鄉。","https://web.klokah.tw/text/sound/25931/428569.mp3"
"Yabi wada mhrinas 9,220 hiyi ka hnbragan na hiyi (snpgan hngkawas104 idas 6).","初估賽德克族的人口約有9220人（104年6月數據）。","https://web.klokah.tw/text/sound/25931/428570.mp3"
"Quri saw kari pnyahan Seejiq ksun ga, ngalun kana ka pnatas dha sbiyaw ni pnatas dha kari rdrudan sayang o ida wada mtna hari ka kari.","有關Sediq的來源說，透過現存的各種文獻資料與耆老口傳記事作比對，發現有些共同的說法：","https://web.klokah.tw/text/sound/25931/428571.mp3"
"Seejiq sbiyaw balay han o, mnniq gqiyan hidaw dxgal breenux, niqan ka kari o, iyux bi psdurang rqnux msa.","賽德克族在很久很久以前是居住在西部平原，一說是為了獵鹿；","https://web.klokah.tw/text/sound/25931/428572.mp3"
"niqan kingal kari uri o wada lwaqan seejiq Kaxabu msa, kiya ka miyah mquri thjil dxgal Hori da.","一說是被當地平埔族驅趕，遷移至埔里地區，","https://web.klokah.tw/text/sound/25931/428573.mp3"
"Yasa seejiq Kaxabu mnniq gqiyan hidaw dxgal breenux hiya o nii miyah mrmux nniqan Hori dungan, ungac brahan dni musa thjil siyaw pusu qqsiya daya yayung Mtudu Paran dungan ka rudan sbiyaw.","又因西部平原的平埔族勢力入侵，再度被迫遷移至濁水溪上游霧社附近，就是現在賽德克族分布的地方。","https://web.klokah.tw/text/sound/25931/428574.mp3"
"Kiya ka alang gaga nniqan Seejiq sayang. Bukuy hari do, kndudul mrana ka seejiq, ini tuku ka qpahun qnpahan ni lupan lmiqu uri da.","日後因為人口的增加，耕地及獵場不敷使用，","https://web.klokah.tw/text/sound/25931/428575.mp3"
"Duma seejiq o wada kndudul mquri thjil hraan hidaw Hwaren da, kiya ka ksun ta Truku sayang.","部份人口移居到花蓮，就是我們現在稱太魯閣族。","https://web.klokah.tw/text/sound/25931/428576.mp3"
"Alang sayang o tegaaw saw rdrudan ni lqlaqi ka gaga mniq hiya, rinah egu seejiq ka gaga qmpah nganguc ni meuyas alang paru,","現在居住在部落的人以年長者與學童居多，而在外謀生與就學的以青年人居多，","https://web.klokah.tw/text/sound/25931/428577.mp3"
"ida ka miyah teumal alang smsung, uxay kiya o nasi niqan ka euda alang o miyah nanaq dhnu.","部落有慶典或有特別日子才會返鄉回來。","https://web.klokah.tw/text/sound/25931/428578.mp3"
"Yasa embiyax bi dmudug seangal bbrigan alang ka cenghu sayang, wada kndudul miyah qmeepah alang duma ka risaw ni dwauwa sayang da.","由於近幾年政府推行在地產業化，青年人回到部落就業的人也開始變多了。","https://web.klokah.tw/text/sound/25931/428579.mp3"
"Lnglungun ta ka kari pnsltulan rrudan sbiyaw o, Seejiq ksun ka tnpusu bi dxgal Taywan hini.","若我們思索著祖先代代相傳的話語，我們賽德克族是臺灣這塊土地原住民族，","https://web.klokah.tw/text/sound/25933/428595.mp3"
"Ini bi bhangi ka kari saw pniyah alang hunac. Rdrudan ta sbiyaw ga, ini bi ksa pniyah ta alang bukuy gsilung uri,","我們沒有來自南洋的說法，也沒有來自海外任何國家的傳說，","https://web.klokah.tw/text/sound/25933/428596.mp3"
"ga mniq kska bi alang Taywan hini.","我們就是居在臺灣的中心地帶。","https://web.klokah.tw/text/sound/25933/428597.mp3"
"Ya wada saw knhnu qnbsiyaq nniqan ta hini da, gisu ta ini klai da.","雖然沒有文獻記載我賽德克族究竟在臺灣居住了多久，","https://web.klokah.tw/text/sound/25933/428598.mp3"
"patas mnatas quri saw pniyah ta inu ga, niqan ka kari hnici rudan ta sbiyaw, kiya ka “pnspruq ta Pusu Tasil Bnuhur hiya ka rudan Seejiq” msa.","然沒有文獻記載我賽德克族究竟在臺灣居住了多久，但我們祖先有「我們始祖誕生於白石山區Pusu Tasil」的傳說。","https://web.klokah.tw/text/sound/25933/428599.mp3"
"Bnhangan ka kari snruan rdrudan alang ga, snpeiyah dha alang Truwan thruy klealang ka endaan rdrudan sbiyaw, kndadax Truku Truwan hiya thruy ni wada mkghak dxgal isil da msa.","由部落耆老的傳述，他們經常述說著我賽德克族是由度魯灣（Truku Truwan）古聚落擴散到其他地區。","https://web.klokah.tw/text/sound/25933/428600.mp3"
"Bnhangan ka kari snruan rdrudan alang ga, snpeiyah dha alang Truwan thruy klealang ka endaan rdrudan sbiyaw, kndadax Truku Truwan hiya thruy ni wada mkghak dxgal isil da msa.","我賽德克族南方以萬大南溪與布農族為界；往北就到傳說的黑色奇萊山與合歡山，","https://web.klokah.tw/text/sound/25933/428601.mp3"
"Saw kiya do, nnigano dxgal Seejiq ksun ga, mquri hunac o alang Bunun, mteayus ta yayung Mbanah.","那兒是我們德路固的傳統領域；向東與太魯閣族則以中央山脈為界；","https://web.klokah.tw/text/sound/25933/428602.mp3"
"Mquri daya o kiya ka ksun dha dgiyaq tqilung ni dgiyaq Gokang nTruku ka hiya, mquri hraan hidaw o ida wada thjil hiya duma ka Seejiq,","那兒是我們德路固的傳統領域；向東與太魯閣族則以中央山脈為界；","https://web.klokah.tw/text/sound/25933/428603.mp3"
"ayang do wada nanaq phiyug bgurah “Truku” ka hangan dha da, mteayus ta ksun ddgiyaq paru kska Taywan hiya.","西邊以北港溪及守城大山、與泰雅族馬西多邦和眉原群為界。","https://web.klokah.tw/text/sound/25933/428604.mp3"
"Mquri gqiyan hidaw do gaga hiya ka alang dTayal, mteayus ta yayung Qnhaqun ni dgiyaq Pgjiyan, Mstowbang ni Mbgala dha klgan ka dTayal.","我賽德克族即散居於各族群為界的山林、溪流之間，","https://web.klokah.tw/text/sound/25933/428605.mp3"
"Gaga pklug psenga mniq llmiqu ni iyax yyayung ka alang ta, ddxgal ayus nii ga, hiya bi ka dxgal pnslutuc rdrudan sbiyaw, ddxgal nii ga hiya bi ka pnyahan rdrudan ta Seejiq sbiyaw.","那兒是我們德路固的傳統領域；向東與太魯閣族則以中央山脈為界；是我賽德克族的傳統領域。","https://web.klokah.tw/text/sound/25933/428606.mp3"
"Gaga shnga babaw yayung, iyax bbuyu dgiyaq ka alang Seejiq ksun, bbuyu dgiyaq saan qmpah ni tmsamac Seejiq,","我們賽德克人居住於山林溪流之間，山林是我們耕作與狩獵之地，","https://web.klokah.tw/text/sound/25934/428607.mp3"
"qsiya yyayung ka mahun qsiya ni saan qmraq qqsurux ni qqbowrung, ida nkiya ka kndkilan hiya.","溪流是我們飲用及捕捉魚蝦之處，這就是我們居住的地方，自然生態豐富。","https://web.klokah.tw/text/sound/25934/428608.mp3"
"Dsaw nii ka gaga nniqun alang. Seejiq ga ini kneeru kuxul bi mowsa tmsamac llmiqu, ini usa hari tmqsurux ni tmqbowlung kyayung,","雖然如此，我們賽德克人更喜愛入山狩獵，而不怎麼去捕蝦捉魚，","https://web.klokah.tw/text/sound/25934/428609.mp3"
"kiya ni dxgal upun ta ga ida mghci balay saan tmsamac.","因而我們的獵場是非常地廣闊。","https://web.klokah.tw/text/sound/25934/428610.mp3"
"Kiya ni Seejiq ga ririh saw ga mseupu dha bbuyu ni yyayung mniq babaw dxgal, qlhangun dha balay ka bbuyu ni yyayung, yasa dhiya ka empgay kkeudus babaw dxgal.","這樣看來，我們賽德克人是與山林溪流一起生活的，我們保護它們，它們提供我們生命所需。","https://web.klokah.tw/text/sound/25934/428611.mp3"
"Ada ka bbuyu dgiyaq ka gaga nniqun samac, ada ka yyayung ka nniqun qqsurux ni qqbowrung, mkdadax nanaq saw nii ka nniqan rdrudan sbiyaw, saw nii ka nniqan Seediq balay.","這樣看來，我們賽德克人是與山林溪流一起生活的，我們保護它們，它們提供我們生命所需。","https://web.klokah.tw/text/sound/25934/428612.mp3"
"Ana nanaq niqan klealang ka ksesiyaw niqun o, nasi ini iyax kmraki o ida ini kmhmuc mowsa murung dhiya,","雖然我們所居住的周邊有敵對的族群，若他們不騷擾我們、我們也不隨意地攻擊他們，","https://web.klokah.tw/text/sound/25934/428613.mp3"
"kana ka dxgal nniqun, dxgal qppahun ni upun ga, asi ka sdxgal bi qmlahang, ini bi hmci prmuxi dklealang.","所有我們居住之地、耕作地及獵場，我們必須嚴守捍衛，絕不讓他族入侵。","https://web.klokah.tw/text/sound/25934/428614.mp3"
"Rudan sbiyaw ga ini gdma thruy, hmuya ma lux ini gdma thruy hug? Ada ka kndudul mhbaraw ka seejiq alang, ini baka ka dxgal nniqan dha ni isil nnigan da.","我們的先祖常會不斷地遷徙，何以會不斷地遷徙是因為人口的逐漸增多，造成居住地的不足。","https://web.klokah.tw/text/sound/25934/428615.mp3"
"Uxay uri o saw mgnetun mpunu mnarux ka seejiq alang, mgntun saw meuray do asi ka mowsa thjil isil nniqan da.","要不然就是遭瘟疫的肆虐或遭逢饑荒時，就一定要向外遷徙。","https://web.klokah.tw/text/sound/25934/428616.mp3"
"Slaqi siida, mnhuma payay yngalan bbrigan kana ka dealang, kngkingal tnsapah ga qulung niqan gqiyaq payay kana, ni tmabug dapa balay dmayaw qmpah.","在小時候，部落裡的主要經濟作物是種植水稻，每個家庭都有田地，有田地的家一定會養水牛。","https://web.klokah.tw/text/sound/25935/429018.mp3"
"tnabug dha dapa balay ka tnsapah stabul yqeyaq kiya ni bliqun dmanga ni qmlahang.","家裡會養兩頭水牛，是用來犁田的，家裡的人把牠們照顧地很好，","https://web.klokah.tw/text/sound/25935/429019.mp3"
"Ririh saw mtdada dmayaw pyqyaq tnsapah, ini tkriyak ka hidaw na ga, wada smulus dapa balay mowsa qmeepah gqeyaq ka tama ni bubu.","因為牠是家裡農耕的好夥伴，每日清晨剛破曉時，爸爸和媽媽就帶著水牛到水田工作，","https://web.klokah.tw/text/sound/25935/429020.mp3"
"Alang ka Dhuq mnkung hari ka karac do, smulus dapa duri mquri elug sapah miyah msangay.","直到天色變暗才拖著水牛往回家的路。","https://web.klokah.tw/text/sound/25935/429021.mp3"
"Ghci ni egu balay dxgal qpahun ka seuxal, kiya ni hmaan risah, sqmu, bunga, sari, sukay, kalac, ngiraw kana qnpahan lmiqu, uka balay qtaan mnkeeman, ana ccikuh ka qneepah tama bubu o,","當時的農地多又寬廣，所以種植梅子、玉米、番薯、芋頭、豆子、鳳梨、香菇，","https://web.klokah.tw/text/sound/25935/429022.mp3"
"ada ka ga mhru qnpahan hiya kana ka hiyi qqhuni, nii ka bnqrus na tama bubu wana uuqun ka nhuma dha, duma nanaq sbarig seejiq pryuxun pila ni ppyasun lqlaqi matas.","所以耕作的農地看不到雜草叢生，而會看見滿山遍野的果樹林立在耕作地上，這些作物都是爸爸媽媽辛苦種植的，","https://web.klokah.tw/text/sound/25935/429023.mp3"
"Kiya ni asi ka mdrumuc balay kana ka kngkingal tnsapah, ini qtai mduru alang jiyan kana ka seejiq, ada ka phlisun seejiiq ni ksngun rudan dhnu.","然而這些果樹不是只有種來吃，還可以賣給別人來換錢供給小孩讀書，所以家家戶戶每天都勤奮工作。","https://web.klokah.tw/text/sound/25935/429024.mp3"
"Saw nii snru na lqlaqi ka rdrudan do, iya ta balay kbsrux ka ta seejiq, asi ta ka mdrumuc nanaq qmeepah, Pniqan ka uuqun dhnu msa.","因此長輩們會慎重叮囑晚輩，不可懶惰，要勤勞工作才不會餓肚子。","https://web.klokah.tw/text/sound/25935/429025.mp3"
"Kngkingal sapah ga asi ka niqan kingal ka rudan tnpusu mpdudug tnsapah, ida saw kiya ka alang uri, asi ka niqan ka seejiq mdudug alang.","每個家庭必須有一個掌理家務的人，部落也是如此，一定要有部落領導人。","https://web.klokah.tw/text/sound/25936/428626.mp3"
"Ita Seejiq ksun ga niqan ta nanaq Gaya, kari snalu rdrudan sbiyaw ka kiya.","我們賽德克族擁有非常珍奇的Gaya，是我們祖先所立下的遺訓，","https://web.klokah.tw/text/sound/25936/428627.mp3"
"Smparu Gaya qmita ka seejiq alang do kika mtbalay ka alang da, mddayaw ni mggealu kana ka seejiq alang dhnu.","部落族人遵循Gaya使部落安定平和，部落族人互助合作、相互憐惜。","https://web.klokah.tw/text/sound/25936/428628.mp3"
"Nasi smiling saw mmanu ksun ka Gaya hug?","若問Gaya是甚麼？","https://web.klokah.tw/text/sound/25936/428629.mp3"
"Ita Seejiq ga, qbsuran balay ksun ka seejiq mdudug alang, truma na seejiq mdudug alang do qbsuran tgdha ksun ka kiya.","我們賽德克族，也稱部落領導人為真正的帶頭大哥，部落領導人之下有副領導人，他們是由部落族人所推舉的；","https://web.klokah.tw/text/sound/25936/428630.mp3"
"Dhiya ga snkulan seejiq dealang. Ida smkagun mtluus, niqan knkla, embiyax bi dmudug qqpahun dealang ni mdrumuc meuda euda alang. Rahuq na do,","部落族人會推舉正直的人，有智慧、有領導力及勤於部落事務者。","https://web.klokah.tw/text/sound/25936/428631.mp3"
"niqan ka seejiq empgasuc, seejiq empmihur, seejiq emplawa quyux, seejiq empatas dqras ni seejiq msapuh ka Seejiq Balay ksun.","除此之外，我賽德克族內有播種祭司、收穫祭司、求雨祭司、文面師及巫醫等。","https://web.klokah.tw/text/sound/25936/428632.mp3"
"Dhiya ga niqan nanaq qqpahun dha quri alang, ririh saw mdayaw seejiq mdudug alang ka dhiya, mseupu lnglungan qbsuran balay ka qbsuran tgdha kmdakar gaya alang.","他們在部落各司其職，可說是協助部落領導人的，常協同部落領導人與副領導人共同維護部落的秩序。","https://web.klokah.tw/text/sound/25936/428633.mp3"
"Manu ka seejiq empgasuc ga, seejiq emplawa quyux dnii ga, dmuuy gaya pnslutuc nanaq rdrudan dha,","至於播種祭司、收穫祭司以及求雨祭司，他們握有承繼自他們家族的傳統祭儀，","https://web.klokah.tw/text/sound/25936/428634.mp3"
"dhiya ka pkdakar gaya alang ni mpdudul gaya euda alang, spruun qmita seejiq alang ka dhiya.","他們維護並執行部落的傳統祭儀，深受部落族人敬重。","https://web.klokah.tw/text/sound/25936/428635.mp3"
"Seejiq empatas dqras ni seejiq emsapuh ga, knkla dha nanaq ka kiya, ini pstnai gaya qmita kiya.","而文面師及巫醫則屬個人的技藝，不視為傳統祭儀。","https://web.klokah.tw/text/sound/25936/428636.mp3"
"Seejiq ksun ga mGaya ta bi balay, ana mmanu ga asi ka speuda Gaya kana, kana ka saw euda dealang ni euda txtaxa hiyi.","我們賽德克族是謹守Gaya的民族，一切的言行舉止皆以Gaya為依歸，如部落的事務及個人的行為。","https://web.klokah.tw/text/sound/25937/428637.mp3"
"Gaya nii o kari sndxgal rudan ta sbiyaw, ririh saw kari hnciyan ita, ungac ka patas wana kari nanaq mlutuc rmngaw.","我們的Gaya是祖先所立下的，Gaya即如他們的遺訓，沒有文字記載僅屬口傳制約。","https://web.klokah.tw/text/sound/25937/428638.mp3"
"Kndadax pnyahan qmlahang Tanah Tunux, duri ni miyah smriyux qmlahang ka Tlu dnii do, ini kdungus tmgsa quri Gygaya Seejiq ka rudan alang da.","自從我們被日本統治、接著換由國民政府來治理之後，部落的長者不再教導我們什麼是賽克族的Gaya，","https://web.klokah.tw/text/sound/25937/428639.mp3"
"Sayang o gisu ini kla maanu ka ksun “Gaya”, manu ka mbiyax sayang do ungac “Gaya” ka sayang da msa ka rrisaw ni wauwa snduray da.","如今我們也不知什麼是Gaya，甚至現代的年輕人會說，今天我們已經沒有Gaya了。","https://web.klokah.tw/text/sound/25937/428640.mp3"
"Balay bi o, gaga mniq alang ka Gaya na, saw ka mowsa snaw ka wauwa, mmangal qrijil ka rrisaw, asi ka smipaq babuy,","事實上，我們的Gaya還存在於部落裡，例如我們的女子要嫁、男子要娶妻，必殺豬分享給親友並宴請部落的族人；","https://web.klokah.tw/text/sound/25937/428641.mp3"
"slihu dadan ni pqlalun rai ka seejiq dealang. Ini tduwa strung ka msdadan, pgyaun balay Seejiq ka Gaya.","近親絕不可通婚，這是我賽德克族很忌諱的事；","https://web.klokah.tw/text/sound/25937/428642.mp3"
"Ana dhuq sayang ga niqan na ka seejiq alang dmuuy lubuy harung mowsa tmsamac llmiqu.","即使到今天，仍然有部落族人上山狩獵時還會攜帶狩獵靈包（lubuy halung）；","https://web.klokah.tw/text/sound/25937/428643.mp3"
"Tmlaqi ka seejiq alang sayang, thnganan dha hangan Seejiq ka laqi.","部落有人生小孩時，會為他／她們的小孩取傳統的賽德克名字；","https://web.klokah.tw/text/sound/25937/428644.mp3"
"Nasi saw niqan mpkeekan kari ni mtgeuqu ka lnglungan dha ka seejiq dealang do mddahur dhu.","部落若有人吵架、有所誤會，他們會以饗宴／賠補（mddahur）的方式得到相互間的諒解與寬恕。","https://web.klokah.tw/text/sound/25937/428645.mp3"
"Kana gaga srngaw nii ga Gaya ndaan seuxal kana ka saw kiya, uxay bnarah snduray.","以上所述及的都是我們的Gaya，而非近代所創造的。","https://web.klokah.tw/text/sound/25937/429026.mp3"
"Ini ktna seuxal ka sayang da, sbiyaw han o seejiq tnpusu Taywan ka mowsa rmigaw alang ppngrah ga nniqan Klmukan.","今日已不同於往昔，以往是原住民人去漢人居住的城市觀光，","https://web.klokah.tw/text/sound/25938/428646.mp3"
"Sayang do embrinah Klmukan ka miyah rmigaw alang seejiq tnpusu Taywan da.","今天反而是漢人來到我們原住民部落觀光。","https://web.klokah.tw/text/sound/25938/428647.mp3"
"Ana seejiq kneinu alang ida tduwa miyah rmigaw kana, niqan ka pniyah Tlu, Tanah Tunux, Damay Dowriq ni kana seejiq klealang deinu uxay ta gnklaan,","甚至有來自大陸、日本、美國以及我們不熟悉國家的客人到我們部落觀光，","https://web.klokah.tw/text/sound/25938/428648.mp3"
"ada ka sayang do, ana nanaq alang seejiq ini ktna klgan ni ini ktna gaya o, nii ta mggaluk ni mtbalay.","因不論是不同種族或不同習俗的的國家，如今已建立關係且和平相處。","https://web.klokah.tw/text/sound/25938/428649.mp3"
"Seejiq tnpusu Taywan nii uri ga ana alang inu ida dha saun rmigaw kana.","而我們臺灣人也去到其他不同的國家觀光。","https://web.klokah.tw/text/sound/25938/428650.mp3"
"Knxalan sayang, saw nii asi iyah mrmux alang ka seejiq eseisil ga, musa uxay bi ddhqun lmnglung drudan sbiyaw, ana saw kiya o wada ka ndaan kiya da.","近代，如此這般地任有外族直接進入我們的部落，是我們祖先無法想像的事，雖是如此、那已是過往的事。","https://web.klokah.tw/text/sound/25938/428651.mp3"
"Sayang do nasi miyah rmigaw dhuq alang ka seejiq prigaw do, pshuya ta ksun pgkla quri nSeejiq ka dhiya hug? Mmeenu ka pklaun ta dhiya?","如今若有觀光客來到我們部落，我們該如何讓他們認識我賽德克族，我們該讓他們知道什麼？","https://web.klokah.tw/text/sound/25938/428652.mp3"
"Nii sa naka ta spuun lmnglung ni stgsa ta dhiya. Ima ta ka ita? Shuya msa ka kkeudus ta ni mmanu ka Gaya Seejiq?","這是我們要共同思考並教導他們的。我們是誰？我們的生活方式為何？及什麼是我們的族律？","https://web.klokah.tw/text/sound/25938/428653.mp3"
"Balay bi saw kiya ka sayang da, miyah rmigaw alang kjiyax ka seejiq mprigaw ga, smiling qyqaya dnjiyan rdrudan sbiyaw ni kmbrigun dha.","今日的現況就是如此，觀光客每到我們部落觀光，會詢問我先祖所使用的生活用具並想購買。","https://web.klokah.tw/text/sound/25938/428654.mp3"
"Saw ka pala tninun ni lukus snaais lukus rudan sbiyaw. Smiling uuqun rudan sbiyaw mkmkan uri.","諸如我們的織品及製作的傳統服飾，會問起我們的傳統食物、而且也想吃看看。","https://web.klokah.tw/text/sound/25938/428655.mp3"
"Kiya ka asi ka slluhay mbbarig, asi ka mskingal lnglungan mpprngaw ni psramal ka seejiq alang wah!","所以我們要學著做生意，我們要讓帶給觀光客歡樂、並與他們結為朋友。","https://web.klokah.tw/text/sound/25938/428656.mp3"
"Sqrasun ta ka seejiq miyah rmigaw ni sdngiyun. Ana sa uxay bi lixun ka knkla hnciyan na rdrudan ana bitaq knuwan.","但是，我們要堅守我們祖先留給我們的生活智慧，直到永遠。","https://web.klokah.tw/text/sound/25938/428657.mp3"
"Sbiyaw balay han ga, ini dhuq mangal rqnux ka biyax rudan sbiyaw, ada ka paru hniygan ni mslikaw balay tmalang ka rqnux bbuyu,","很久以前，也許我們的祖先是無法獵取水鹿，因為水鹿的身形很大而且動作非常敏捷，","https://web.klokah.tw/text/sound/25939/428658.mp3"
"ini eniq lmiqu llbu uri, mniq ddgiyaq mmaku paru, ana nanaq niqan ka snuyuk nuqih stlnga o ini na pniqi smtuq.","牠們也不會住在叢林裡，而是住在山林中，即使試設下結繩陷阱，也無法逮住牠。","https://web.klokah.tw/text/sound/25939/428659.mp3"
"Pnaah ka niqan huling do, phlingun dha ni pdyagun dha smbu buji duri, kiya ka paah siida mangal bi rqnux ka dhiya.","自從有了獵狗之後，就透過獵狗協助獵取水鹿。","https://web.klokah.tw/text/sound/25939/428660.mp3"
"Babaw na dmuuy puniq mowsa tmsamac ka rudan do, kiya ka prajing niqan qnawal ka stlnga dha da. Kndadax siida prajing egu nngalan dha mowsa lmiqu da msa.","自從我們的祖先開始使用槍枝狩獵和鐵線夾之後，漸漸獵取更多的水鹿了。","https://web.klokah.tw/text/sound/25939/428662.mp3"
"Ya nanaq mnkeiun ka klmukan nii miyah teumal tnpusu seejiq Taywang hini, kuxul dha balay ka tnguraw rqnux,","後來不知道哪裡來的閩南人來到我們台灣這裡，他們非常喜歡這個鹿茸，","https://web.klokah.tw/text/sound/25939/428663.mp3"
"klaun dha balay niqan snbrigan na ka tnguraw nii, pnskbyaxan na hiyi seejiq, wana balay tnguraw nii ka seiyah dha smiling alang msa.","知道牠的珍貴與保健功效而紛紛來到部落裡詢問，因為鹿茸交易的利潤很大。","https://web.klokah.tw/text/sound/25939/428664.mp3"
"Ada ka paru snpgan pnryuxan qyqaya ka tnguraw, kiya do kngkignal dnhqan hngkawas idas 2 dhuk idas 4 dga, mquri dgiyaq ka seejiq mowsa mhraw rqnux ka seejiq alang dhnu,","所以，每年2月到4月的時候，我們的族人就會到獵場然後順著沿岸，有的往有礫石的河邊，有的往白石山區去追趕水鹿。","https://web.klokah.tw/text/sound/25939/428665.mp3"
"mquri yayung Mtanah ni yayung Qrari duma, mquri dgiyaq Bunun ka duma. Kingal sqdan tnguraw ga ryuxun dha dha wawa dapa mbanah,","一疊的鹿茸可以換取乳牛二隻，一隻公牛，一隻母牛，","https://web.klokah.tw/text/sound/25939/428666.mp3"
"kingal balas ni kingal gipu, pnaah hiya siida tmabug dapa ka Seejiq da, egu dapa Seejiq ga Seejiq mtngi ksun dha.","從那時候開始我們的族人開始養牛，牛隻越多代表著生活越優渥。","https://web.klokah.tw/text/sound/25939/428667.mp3"
"Alang Seejiq sbiyaw ga masu suyaw, masu balay, basaw, bungan ni sari dnii ka stngi balay embuyas siida.","以前的賽德克族部落，以粟、小米、黍、地瓜與芋頭為主食。","https://web.klokah.tw/text/sound/25940/428668.mp3"
"Hmanguc masu suyaw, masu balay, basaw siida, asi dha rmxi ruwan supih, thjilun babaw rqda, kiya ni rmanun qsiya mhapuy.","。烹煮粟、小米、黍，通常不須清洗就直接入鍋，","https://web.klokah.tw/text/sound/25940/429136.mp3"
"Iyax nii ga asi ka kmttu gyawun isux iyux ini psqrung mhapuy idaw rumu.","移置爐灶上再加水並不斷地用木杓攪和避免黏鍋燒焦煮成粥。","https://web.klokah.tw/text/sound/25940/429137.mp3"
"Mnhada do thjilun paah rqda duri ka supih hnpuyan, ltuun siyaw rqda.","米粒煮熟後，鍋子搬離爐火置於旁邊讓他冷卻。","https://web.klokah.tw/text/sound/25940/428672.mp3"
