word_id,source,form,gloss,convention
AKIW_SZY_2012_TABLE_ROW_015W1,PDF page 56; affix inventory row 15,ka-tayni,來這裏！,whole-word meaning with separate affix/root columns
AKIW_SZY_2012_TABLE_ROW_016W1,PDF page 56; affix inventory row 16,ka-tayza,要去！,whole-word meaning with separate affix/root columns
AKIW_SZY_2012_TABLE_ROW_017W1,PDF page 57; affix inventory row 17,ka-tineng,會懂得！,whole-word meaning with separate affix/root columns
AKIW_SZY_2012_TABLE_ROW_018W1,PDF page 57; affix inventory row 18,ka-wacay,打赤膊吧！,whole-word meaning with separate affix/root columns
AKIW_SZY_2012_TABLE_ROW_019W1,PDF page 57; affix inventory row 19,ka-zahkez,放心吧！,whole-word meaning with separate affix/root columns
AKIW_SZY_2012_TABLE_ROW_020W1,PDF page 58; affix inventory row 20,ka-laway,大嘴巴,whole-word meaning with separate affix/root columns
AKIW_SZY_2012_TABLE_ROW_021W1,PDF page 58; affix inventory row 21,ka-tenes,要很久,whole-word meaning with separate affix/root columns
AKIW_SZY_2012_TABLE_ROW_022W1,PDF page 58; affix inventory row 22,ka-tuud,很多,whole-word meaning with separate affix/root columns
AKIW_SZY_2012_TABLE_ROW_023W1,PDF page 58; affix inventory row 23,ka-udu,大屁股,whole-word meaning with separate affix/root columns
AKIW_SZY_2012_TABLE_ROW_024W1,PDF page 58; affix inventory row 24,ka-uning,很髒,whole-word meaning with separate affix/root columns
AKIW_SZY_2012_TABLE_ROW_025W1,PDF page 59; affix inventory row 25,ka-wanan,右邊,whole-word meaning with separate affix/root columns
AKIW_SZY_2012_TABLE_ROW_026W1,PDF page 59; affix inventory row 26,ka-wili,左邊,whole-word meaning with separate affix/root columns
AKIW_SZY_2012_TABLE_ROW_028W1,PDF page 61; affix inventory row 28,la-heci,完成,whole-word meaning with separate affix/root columns
AKIW_SZY_2012_TABLE_ROW_029W1,PDF page 62; affix inventory row 29,ma-busuk,喝醉,whole-word meaning with separate affix/root columns
AKIW_SZY_2012_TABLE_ROW_030W1,PDF page 63; affix inventory row 30,ma-debay,跌落,whole-word meaning with separate affix/root columns
AKIW_SZY_2012_TABLE_ROW_031W1,PDF page 63; affix inventory row 31,ma-duba',跑步,whole-word meaning with separate affix/root columns
AKIW_SZY_2012_TABLE_ROW_032W1,PDF page 63; affix inventory row 32,ma-labades,爲（某因）所苦,whole-word meaning with separate affix/root columns
AKIW_SZY_2012_TABLE_ROW_033W1,PDF page 63; affix inventory row 33,ma-lihanaw,很擔心,whole-word meaning with separate affix/root columns
AKIW_SZY_2012_TABLE_ROW_034W1,PDF page 63; affix inventory row 34,ma-namuh,喜歡,whole-word meaning with separate affix/root columns
AKIW_SZY_2012_TABLE_ROW_035W1,PDF page 64; affix inventory row 35,ma-ala,被拿走,whole-word meaning with separate affix/root columns
AKIW_SZY_2012_TABLE_ROW_036W1,PDF page 64; affix inventory row 36,ma-alaw,被搶,whole-word meaning with separate affix/root columns
AKIW_SZY_2012_TABLE_ROW_037W1,PDF page 64; affix inventory row 37,ma-apa,被背,whole-word meaning with separate affix/root columns
AKIW_SZY_2012_TABLE_ROW_038W1,PDF page 64; affix inventory row 38,ma-balud,被綁,whole-word meaning with separate affix/root columns
AKIW_SZY_2012_TABLE_ROW_039W1,PDF page 64; affix inventory row 39,ma-belih,被翻,whole-word meaning with separate affix/root columns
AKIW_SZY_2012_TABLE_ROW_040W1,PDF page 64; affix inventory row 40,ma-bulesiw,（草）被劈,whole-word meaning with separate affix/root columns
AKIW_SZY_2012_TABLE_ROW_041W1,PDF page 64; affix inventory row 41,ma-pili',被挑,whole-word meaning with separate affix/root columns
AKIW_SZY_2012_TABLE_ROW_042W1,PDF page 64; affix inventory row 42,ma-tebuc,被罰,whole-word meaning with separate affix/root columns
AKIW_SZY_2012_TABLE_ROW_043W1,PDF page 65; affix inventory row 43,ma-labi,吃晚餐,whole-word meaning with separate affix/root columns
AKIW_SZY_2012_TABLE_ROW_044W1,PDF page 65; affix inventory row 44,ma-lahuk,吃午餐了,whole-word meaning with separate affix/root columns
AKIW_SZY_2012_TABLE_ROW_045W1,PDF page 65; affix inventory row 45,ma-lanam,吃早餐,whole-word meaning with separate affix/root columns
AKIW_SZY_2012_TABLE_ROW_046W1,PDF page 65; affix inventory row 46,ma-libung,得瘟疫,whole-word meaning with separate affix/root columns
AKIW_SZY_2012_TABLE_ROW_047W1,PDF page 65; affix inventory row 47,ma-lutuk,雜草叢生,whole-word meaning with separate affix/root columns
AKIW_SZY_2012_TABLE_ROW_048W1,PDF page 65; affix inventory row 48,ma-ngawa,缺齒,whole-word meaning with separate affix/root columns
AKIW_SZY_2012_TABLE_ROW_049W1,PDF page 66; affix inventory row 49,ma-bucekit,長針眼,whole-word meaning with separate affix/root columns
AKIW_SZY_2012_TABLE_ROW_050W1,PDF page 66; affix inventory row 50,ma-bulad,來月經,whole-word meaning with separate affix/root columns
AKIW_SZY_2012_TABLE_ROW_051W1,PDF page 66; affix inventory row 51,ma-cilal,出太陽,whole-word meaning with separate affix/root columns
AKIW_SZY_2012_TABLE_ROW_052W1,PDF page 66; affix inventory row 52,ma-izang,流血,whole-word meaning with separate affix/root columns
AKIW_SZY_2012_TABLE_ROW_053W1,PDF page 66; affix inventory row 53,ma-kebing,出麻疹,whole-word meaning with separate affix/root columns
AKIW_SZY_2012_TABLE_ROW_054W1,PDF page 66; affix inventory row 54,ma-menah,長痔瘡,whole-word meaning with separate affix/root columns
AKIW_SZY_2012_TABLE_ROW_055W1,PDF page 66; affix inventory row 55,ma-pudas,長癬,whole-word meaning with separate affix/root columns
AKIW_SZY_2012_TABLE_ROW_056W1,PDF page 66; affix inventory row 56,ma-ubad,長白髮,whole-word meaning with separate affix/root columns
AKIW_SZY_2012_TABLE_ROW_057W1,PDF page 67; affix inventory row 57,ma-becul,吃飽,whole-word meaning with separate affix/root columns
AKIW_SZY_2012_TABLE_ROW_058W1,PDF page 67; affix inventory row 58,ma-capi,很近,whole-word meaning with separate affix/root columns
AKIW_SZY_2012_TABLE_ROW_060W1,PDF page 67; affix inventory row 60,ma-dimel,乾淨,whole-word meaning with separate affix/root columns
AKIW_SZY_2012_TABLE_ROW_061W1,PDF page 67; affix inventory row 61,ma-kudus,很瘦,whole-word meaning with separate affix/root columns
AKIW_SZY_2012_TABLE_ROW_062W1,PDF page 69; affix inventory row 62,mi-akik,在烤,whole-word meaning with separate affix/root columns
AKIW_SZY_2012_TABLE_ROW_063W1,PDF page 69; affix inventory row 63,mi-balud,在綁,whole-word meaning with separate affix/root columns
AKIW_SZY_2012_TABLE_ROW_064W1,PDF page 69; affix inventory row 64,mi-banaw,正在洗,whole-word meaning with separate affix/root columns
AKIW_SZY_2012_TABLE_ROW_066W1,PDF page 69; affix inventory row 66,mi-cikcik,在切,whole-word meaning with separate affix/root columns
AKIW_SZY_2012_TABLE_ROW_067W1,PDF page 69; affix inventory row 67,mi-dadum,在挑水,whole-word meaning with separate affix/root columns
AKIW_SZY_2012_TABLE_ROW_068W1,PDF page 69; affix inventory row 68,mi-kalic,在爬,whole-word meaning with separate affix/root columns
AKIW_SZY_2012_TABLE_ROW_069W1,PDF page 69; affix inventory row 69,mi-lilid,正在抬,whole-word meaning with separate affix/root columns
AKIW_SZY_2012_TABLE_ROW_070W1,PDF page 69; affix inventory row 70,mi-muku,正在扛,whole-word meaning with separate affix/root columns
AKIW_SZY_2012_TABLE_ROW_071W1,PDF page 69; affix inventory row 71,mi-niwaniw,在除草,whole-word meaning with separate affix/root columns
AKIW_SZY_2012_TABLE_ROW_072W1,PDF page 70; affix inventory row 72,mi-misa,參加彌撒,whole-word meaning with separate affix/root columns
AKIW_SZY_2012_TABLE_ROW_073W1,PDF page 70; affix inventory row 73,mi-seking,在考試,whole-word meaning with separate affix/root columns
AKIW_SZY_2012_TABLE_ROW_074W1,PDF page 70; affix inventory row 74,mi-tima',施法,whole-word meaning with separate affix/root columns
AKIW_SZY_2012_TABLE_ROW_075W1,PDF page 70; affix inventory row 75,mi-atip,正在夾,whole-word meaning with separate affix/root columns
AKIW_SZY_2012_TABLE_ROW_077W1,PDF page 70; affix inventory row 77,mi-dadingu,在照鏡子,whole-word meaning with separate affix/root columns
AKIW_SZY_2012_TABLE_ROW_078W1,PDF page 70; affix inventory row 78,mi-hamunika,吹囗琴,whole-word meaning with separate affix/root columns
AKIW_SZY_2012_TABLE_ROW_080W1,PDF page 71; affix inventory row 80,mi-lisin,慶祝豐年祭,whole-word meaning with separate affix/root columns
AKIW_SZY_2012_TABLE_ROW_081W1,PDF page 71; affix inventory row 81,mi-pana',射箭,whole-word meaning with separate affix/root columns
AKIW_SZY_2012_TABLE_ROW_082W1,PDF page 71; affix inventory row 82,mi-piyu,吹奏,whole-word meaning with separate affix/root columns
AKIW_SZY_2012_TABLE_ROW_083W1,PDF page 71; affix inventory row 83,mi-salil,在撒網,whole-word meaning with separate affix/root columns
AKIW_SZY_2012_TABLE_ROW_084W1,PDF page 71; affix inventory row 84,mi-sanek,在聞,whole-word meaning with separate affix/root columns
AKIW_SZY_2012_TABLE_ROW_085W1,PDF page 71; affix inventory row 85,mi-sasing,在照相,whole-word meaning with separate affix/root columns
AKIW_SZY_2012_TABLE_ROW_086W1,PDF page 71; affix inventory row 86,mi-tabaku,在抽菸,whole-word meaning with separate affix/root columns
AKIW_SZY_2012_TABLE_ROW_087W1,PDF page 72; affix inventory row 87,mi-alupal,探柿子,whole-word meaning with separate affix/root columns
AKIW_SZY_2012_TABLE_ROW_088W1,PDF page 72; affix inventory row 88,mi-badisusu',探葡萄,whole-word meaning with separate affix/root columns
AKIW_SZY_2012_TABLE_ROW_089W1,PDF page 72; affix inventory row 89,mi-bidaul,摘黃瓜,whole-word meaning with separate affix/root columns
AKIW_SZY_2012_TABLE_ROW_090W1,PDF page 72; affix inventory row 90,mi-habay,收小米,whole-word meaning with separate affix/root columns
AKIW_SZY_2012_TABLE_ROW_091W1,PDF page 72; affix inventory row 91,mi-kalitang,拔花生,whole-word meaning with separate affix/root columns
AKIW_SZY_2012_TABLE_ROW_092W1,PDF page 72; affix inventory row 92,mi-kamulaw,探番茄,whole-word meaning with separate affix/root columns
AKIW_SZY_2012_TABLE_ROW_093W1,PDF page 72; affix inventory row 93,mi-lami',探菜,whole-word meaning with separate affix/root columns
AKIW_SZY_2012_TABLE_ROW_094W1,PDF page 72; affix inventory row 94,mi-tebu',探竹筍,whole-word meaning with separate affix/root columns
AKIW_SZY_2012_TABLE_ROW_095W1,PDF page 73; affix inventory row 95,mi-alem,抓穿山甲,whole-word meaning with separate affix/root columns
AKIW_SZY_2012_TABLE_ROW_096W1,PDF page 73; affix inventory row 96,mi-altipal,抓白頭翁,whole-word meaning with separate affix/root columns
AKIW_SZY_2012_TABLE_ROW_097W1,PDF page 73; affix inventory row 97,mi-alungdas,抓錦蛇,whole-word meaning with separate affix/root columns
AKIW_SZY_2012_TABLE_ROW_098W1,PDF page 73; affix inventory row 98,mi-balaut,抓青蛙,whole-word meaning with separate affix/root columns
AKIW_SZY_2012_TABLE_ROW_099W1,PDF page 73; affix inventory row 99,mi-buting,捕魚,whole-word meaning with separate affix/root columns
AKIW_SZY_2012_TABLE_ROW_100W1,PDF page 73; affix inventory row 100,mi-cuhcuh,撿田螺,whole-word meaning with separate affix/root columns
AKIW_SZY_2012_TABLE_ROW_101W1,PDF page 73; affix inventory row 101,mi-kalang,抓螃蟹,whole-word meaning with separate affix/root columns
AKIW_SZY_2012_TABLE_ROW_102W1,PDF page 73; affix inventory row 102,mi-kuhkuh,撿田螺,whole-word meaning with separate affix/root columns
AKIW_SZY_2012_TABLE_ROW_103W1,PDF page 73; affix inventory row 103,mi-lalacan,撿海螺,whole-word meaning with separate affix/root columns
AKIW_SZY_2012_TABLE_ROW_105W1,PDF page 73; affix inventory row 105,mi-uzang,抓蝦子,whole-word meaning with separate affix/root columns
AKIW_SZY_2012_TABLE_ROW_106W1,PDF page 75; affix inventory row 106,mi-badahung,蓋屋頂,whole-word meaning with separate affix/root columns
AKIW_SZY_2012_TABLE_ROW_107W1,PDF page 75; affix inventory row 107,mi-cilis,建水道以引水用,whole-word meaning with separate affix/root columns
AKIW_SZY_2012_TABLE_ROW_108W1,PDF page 75; affix inventory row 108,mi-langat,去作（某人）的圍籬,whole-word meaning with separate affix/root columns
AKIW_SZY_2012_TABLE_ROW_109W1,PDF page 76; affix inventory row 109,mi-cucu,吸奶,whole-word meaning with separate affix/root columns
AKIW_SZY_2012_TABLE_ROW_110W1,PDF page 76; affix inventory row 110,mi-kabi,喝湯,whole-word meaning with separate affix/root columns
AKIW_SZY_2012_TABLE_ROW_111W1,PDF page 76; affix inventory row 111,mi-nanum,喝水,whole-word meaning with separate affix/root columns
AKIW_SZY_2012_TABLE_ROW_113W1,PDF page 77; affix inventory row 113,mu-esus,放屁,whole-word meaning with separate affix/root columns
AKIW_SZY_2012_TABLE_ROW_114W1,PDF page 77; affix inventory row 114,mu-isi',撒尿,whole-word meaning with separate affix/root columns
AKIW_SZY_2012_TABLE_ROW_115W1,PDF page 77; affix inventory row 115,mu-sepi,很幸運,whole-word meaning with separate affix/root columns
AKIW_SZY_2012_TABLE_ROW_116W1,PDF page 79; affix inventory row 116,mu-bahel,飛,whole-word meaning with separate affix/root columns
AKIW_SZY_2012_TABLE_ROW_117W1,PDF page 79; affix inventory row 117,mu-dadiw,唱歌,whole-word meaning with separate affix/root columns
AKIW_SZY_2012_TABLE_ROW_118W1,PDF page 79; affix inventory row 118,mu-kan,吃,whole-word meaning with separate affix/root columns
AKIW_SZY_2012_TABLE_ROW_119W1,PDF page 79; affix inventory row 119,mu-lekal,起床,whole-word meaning with separate affix/root columns
AKIW_SZY_2012_TABLE_ROW_120W1,PDF page 79; affix inventory row 120,mu-lesa',漏水,whole-word meaning with separate affix/root columns
AKIW_SZY_2012_TABLE_ROW_121W1,PDF page 79; affix inventory row 121,mu-tizeng,站立,whole-word meaning with separate affix/root columns
AKIW_SZY_2012_TABLE_ROW_122W1,PDF page 79; affix inventory row 122,mu-belih,折返（反悔）,whole-word meaning with separate affix/root columns
AKIW_SZY_2012_TABLE_ROW_124W1,PDF page 80; affix inventory row 124,na-cila,昨天,whole-word meaning with separate affix/root columns
AKIW_SZY_2012_TABLE_ROW_125W1,PDF page 80; affix inventory row 125,na-sanal,今天上午（已過去的）,whole-word meaning with separate affix/root columns
AKIW_SZY_2012_TABLE_ROW_126W1,PDF page 80; affix inventory row 126,na-sandeb,昨晚（當說話的時間點是中午之前使用）,whole-word meaning with separate affix/root columns
AKIW_SZY_2012_TABLE_ROW_127W1,PDF page 80; affix inventory row 127,na-sawni,剛,whole-word meaning with separate affix/root columns
AKIW_SZY_2012_TABLE_ROW_128W1,PDF page 80; affix inventory row 128,na-yaan,什麽時候,whole-word meaning with separate affix/root columns
AKIW_SZY_2012_TABLE_ROW_129W1,PDF page 81; affix inventory row 129,na-adada,痛過,whole-word meaning with separate affix/root columns
AKIW_SZY_2012_TABLE_ROW_130W1,PDF page 81; affix inventory row 130,na-imelang,曾經生病,whole-word meaning with separate affix/root columns
AKIW_SZY_2012_TABLE_ROW_131W1,PDF page 81; affix inventory row 131,na-iza,曾經有,whole-word meaning with separate affix/root columns
AKIW_SZY_2012_TABLE_ROW_132W1,PDF page 81; affix inventory row 132,na-nabaw,浮出水面,whole-word meaning with separate affix/root columns
AKIW_SZY_2012_TABLE_ROW_133W1,PDF page 81; affix inventory row 133,na-pacena',休息過,whole-word meaning with separate affix/root columns
AKIW_SZY_2012_TABLE_ROW_134W1,PDF page 81; affix inventory row 134,na-paluma,種過了,whole-word meaning with separate affix/root columns
AKIW_SZY_2012_TABLE_ROW_135W1,PDF page 82; affix inventory row 135,ni-muku,所扛之物,whole-word meaning with separate affix/root columns
AKIW_SZY_2012_TABLE_ROW_136W1,PDF page 82; affix inventory row 136,ni-'neng,坐姿,whole-word meaning with separate affix/root columns
AKIW_SZY_2012_TABLE_ROW_137W1,PDF page 82; affix inventory row 137,ni-pazeng,放置物,whole-word meaning with separate affix/root columns
AKIW_SZY_2012_TABLE_ROW_138W1,PDF page 82; affix inventory row 138,ni-tabu,飯盒,whole-word meaning with separate affix/root columns
AKIW_SZY_2012_TABLE_ROW_139W1,PDF page 82; affix inventory row 139,ni-tizeng,站姿,whole-word meaning with separate affix/root columns
AKIW_SZY_2012_TABLE_ROW_141W1,PDF page 84; affix inventory row 141,pa-acawa,成婚（嫁或娶）,whole-word meaning with separate affix/root columns
AKIW_SZY_2012_TABLE_ROW_142W1,PDF page 84; affix inventory row 142,pa-balunga,划船,whole-word meaning with separate affix/root columns
AKIW_SZY_2012_TABLE_ROW_143W1,PDF page 84; affix inventory row 143,pa-baybay,掛蚊帳,whole-word meaning with separate affix/root columns
AKIW_SZY_2012_TABLE_ROW_144W1,PDF page 84; affix inventory row 144,pa-ciid,長芽,whole-word meaning with separate affix/root columns
AKIW_SZY_2012_TABLE_ROW_145W1,PDF page 84; affix inventory row 145,pa-hutin,牧養,whole-word meaning with separate affix/root columns
AKIW_SZY_2012_TABLE_ROW_146W1,PDF page 84; affix inventory row 146,pa-kulul,背對著,whole-word meaning with separate affix/root columns
AKIW_SZY_2012_TABLE_ROW_147W1,PDF page 84; affix inventory row 147,pa-kungku,說故事,whole-word meaning with separate affix/root columns
AKIW_SZY_2012_TABLE_ROW_148W1,PDF page 84; affix inventory row 148,pa-liling,作屋牆,whole-word meaning with separate affix/root columns
AKIW_SZY_2012_TABLE_ROW_149W1,PDF page 84; affix inventory row 149,pa-pubu,放魚筌,whole-word meaning with separate affix/root columns
AKIW_SZY_2012_TABLE_ROW_150W1,PDF page 84; affix inventory row 150,pa-tusuz,跪,whole-word meaning with separate affix/root columns
AKIW_SZY_2012_TABLE_ROW_151W1,PDF page 85; affix inventory row 151,pa-sepi,給予祝福,whole-word meaning with separate affix/root columns
AKIW_SZY_2012_TABLE_ROW_154W1,PDF page 85; affix inventory row 154,pa-caliw,借（某物）給,whole-word meaning with separate affix/root columns
AKIW_SZY_2012_TABLE_ROW_155W1,PDF page 85; affix inventory row 155,pa-cepcep,使之吸,whole-word meaning with separate affix/root columns
AKIW_SZY_2012_TABLE_ROW_156W1,PDF page 85; affix inventory row 156,pa-cukat,叫醒,whole-word meaning with separate affix/root columns
AKIW_SZY_2012_TABLE_ROW_157W1,PDF page 85; affix inventory row 157,pa-daesu,給恩賜,whole-word meaning with separate affix/root columns
AKIW_SZY_2012_TABLE_ROW_158W1,PDF page 85; affix inventory row 158,pa-liluc,洗禮（受洗）,whole-word meaning with separate affix/root columns
AKIW_SZY_2012_TABLE_ROW_159W1,PDF page 85; affix inventory row 159,pa-tawid,使之驚嚇,whole-word meaning with separate affix/root columns
AKIW_SZY_2012_TABLE_ROW_160W1,PDF page 85; affix inventory row 160,pa-tizeng,使之站立,whole-word meaning with separate affix/root columns
AKIW_SZY_2012_TABLE_ROW_161W1,PDF page 85; affix inventory row 161,pa-bangsis,使之散發香味,whole-word meaning with separate affix/root columns
AKIW_SZY_2012_TABLE_ROW_162W1,PDF page 87; affix inventory row 162,pi-nanum,要喝水,whole-word meaning with separate affix/root columns
AKIW_SZY_2012_TABLE_ROW_163W1,PDF page 87; affix inventory row 163,pi-tabaku,去抽菸,whole-word meaning with separate affix/root columns
AKIW_SZY_2012_TABLE_ROW_164W1,PDF page 87; affix inventory row 164,pi-ala,去拿,whole-word meaning with separate affix/root columns
AKIW_SZY_2012_TABLE_ROW_165W1,PDF page 87; affix inventory row 165,pi-id'id,去烤,whole-word meaning with separate affix/root columns
AKIW_SZY_2012_TABLE_ROW_166W1,PDF page 87; affix inventory row 166,pi-kilim,去找,whole-word meaning with separate affix/root columns
AKIW_SZY_2012_TABLE_ROW_167W1,PDF page 87; affix inventory row 167,pi-tais,去縫製,whole-word meaning with separate affix/root columns
AKIW_SZY_2012_TABLE_ROW_168W1,PDF page 87; affix inventory row 168,pi-tamuzung,去扛,whole-word meaning with separate affix/root columns
AKIW_SZY_2012_TABLE_ROW_169W1,PDF page 87; affix inventory row 169,pi-tengil,要聽從,whole-word meaning with separate affix/root columns
AKIW_SZY_2012_TABLE_ROW_171W1,PDF page 89; affix inventory row 171,sa-asik,掃把,whole-word meaning with separate affix/root columns
AKIW_SZY_2012_TABLE_ROW_172W1,PDF page 89; affix inventory row 172,sa-betil,彈弓,whole-word meaning with separate affix/root columns
AKIW_SZY_2012_TABLE_ROW_173W1,PDF page 89; affix inventory row 173,sa-emic,夾子,whole-word meaning with separate affix/root columns
