s_id,language_code,language_label,dialect,source_variety,english,form,alternate_forms,reading_type,printed_page,pdf_page,table,review_note
S_favorlang_nose,bzg,Babuza-Favorlang,Favorlang,Favorlang,Nose,not,,,316,3,Gabelentz lexical table,Manual visual transcription from the source page render.
S_favorlang_ear,bzg,Babuza-Favorlang,Favorlang,Favorlang,Ear,chárrina,,,316,3,Gabelentz lexical table,Acute accent verified visually against the scan.
S_favorlang_mouth,bzg,Babuza-Favorlang,Favorlang,Favorlang,Mouth,ranied,sabbacha,lexeme,316,3,Gabelentz lexical table,Competing source lexemes are separate S records under revised POL-028.
S_favorlang_tooth,bzg,Babuza-Favorlang,Favorlang,Favorlang,Tooth,sjien,,,317,4,Gabelentz lexical table,Manual visual transcription from the source page render.
S_favorlang_tongue,bzg,Babuza-Favorlang,Favorlang,Favorlang,Tongue,tatsira,,,317,4,Gabelentz lexical table,Manual visual transcription from the source page render.
S_favorlang_beard,bzg,Babuza-Favorlang,Favorlang,Favorlang,Beard,ranob,,,317,4,Gabelentz lexical table,Manual visual transcription from the source page render.
S_favorlang_neck,bzg,Babuza-Favorlang,Favorlang,Favorlang,Neck,bokkir,arribórribon,lexeme,317,4,Gabelentz lexical table,"Source prints ""arribórri-"" at line end and ""bon"" below; reconstructed without the layout hyphen."
S_favorlang_breast,bzg,Babuza-Favorlang,Favorlang,Favorlang,Breast,arrabis,zido,lexeme,317,4,Gabelentz lexical table,Competing source lexemes are separate S records under revised POL-028.
S_favorlang_belly,bzg,Babuza-Favorlang,Favorlang,Favorlang,Belly,cháan,,,317,4,Gabelentz lexical table,Acute accent verified visually against the scan.
S_favorlang_arm,bzg,Babuza-Favorlang,Favorlang,Favorlang,Arm,tea,,,317,4,Gabelentz lexical table,Manual visual transcription from the source page render.
S_favorlang_hand,bzg,Babuza-Favorlang,Favorlang,Favorlang,Hand,rima,,,317,4,Gabelentz lexical table,Manual visual transcription from the source page render.
S_favorlang_finger,bzg,Babuza-Favorlang,Favorlang,Favorlang,Finger,apillo,,,318,5,Gabelentz lexical table,Manual visual transcription from the source page render.
S_favorlang_foot,bzg,Babuza-Favorlang,Favorlang,Favorlang,Foot,asiél,,,318,5,Gabelentz lexical table,Acute accent verified visually against the scan.
S_favorlang_heart,bzg,Babuza-Favorlang,Favorlang,Favorlang,Heart,totto,tutta,variant,318,5,Gabelentz lexical table,Spelling variants share the original tier; the second FORM has ver=alt (POL-028).
S_favorlang_blood,bzg,Babuza-Favorlang,Favorlang,Favorlang,Blood,tagga,,,318,5,Gabelentz lexical table,Manual visual transcription from the source page render.
S_favorlang_flesh,bzg,Babuza-Favorlang,Favorlang,Favorlang,Flesh,bóá,,,318,5,Gabelentz lexical table,Both acute accents verified visually against the scan.
S_favorlang_bone,bzg,Babuza-Favorlang,Favorlang,Favorlang,Bone,oot,,,318,5,Gabelentz lexical table,Manual visual transcription from the source page render.
S_favorlang_milk,bzg,Babuza-Favorlang,Favorlang,Favorlang,Milk,tach o zido,,,318,5,Gabelentz lexical table,Multiword source form retained exactly.
S_favorlang_skin,bzg,Babuza-Favorlang,Favorlang,Favorlang,Skin,maram,,,318,5,Gabelentz lexical table,Manual visual transcription from the source page render.
