entry_id,reader_page,column,form,translation,method,included,exclusion_reason
song-2018-kanakanavu-dictionary-0034,193,2,cara,上（某之上）,Official Appendix 2A positioned text; barred-vowel forms cross-checked against duplicate Appendix 2B entry,yes,
song-2018-kanakanavu-dictionary-0035,193,2,carapung,帽子,Official Appendix 2A positioned text; barred-vowel forms cross-checked against duplicate Appendix 2B entry,yes,
song-2018-kanakanavu-dictionary-0036,193,2,caruru,頂端；尖端（山頂）,Official Appendix 2A positioned text; barred-vowel forms cross-checked against duplicate Appendix 2B entry,yes,
song-2018-kanakanavu-dictionary-0037,193,2,cau,人,Official Appendix 2A positioned text; barred-vowel forms cross-checked against duplicate Appendix 2B entry,yes,
song-2018-kanakanavu-dictionary-0038,193,2,ca’ánia,白天,Official Appendix 2A positioned text; barred-vowel forms cross-checked against duplicate Appendix 2B entry,yes,
song-2018-kanakanavu-dictionary-0039,193,2,ca’u,無患子,Official Appendix 2A positioned text; barred-vowel forms cross-checked against duplicate Appendix 2B entry,yes,
song-2018-kanakanavu-dictionary-0040,193,2,cenana,年；年齡；歲,Official Appendix 2A positioned text; barred-vowel forms cross-checked against duplicate Appendix 2B entry,yes,
song-2018-kanakanavu-dictionary-0041,194,1,ciciri,旁邊；角落,Official Appendix 2A positioned text; barred-vowel forms cross-checked against duplicate Appendix 2B entry,yes,
song-2018-kanakanavu-dictionary-0042,194,1,cikíringa,邊邊的地方；隱喻廁所,Official Appendix 2A positioned text; barred-vowel forms cross-checked against duplicate Appendix 2B entry,yes,
song-2018-kanakanavu-dictionary-0043,194,1,cimi’i,臉,Official Appendix 2A positioned text; barred-vowel forms cross-checked against duplicate Appendix 2B entry,yes,
song-2018-kanakanavu-dictionary-0044,194,1,cina,母親；媽媽,Official Appendix 2A positioned text; barred-vowel forms cross-checked against duplicate Appendix 2B entry,yes,
song-2018-kanakanavu-dictionary-0045,194,1,cina vuravurau,阿姨；嬸嬸；姑姑；媽媽輩,Official Appendix 2A positioned text; barred-vowel forms cross-checked against duplicate Appendix 2B entry,yes,
song-2018-kanakanavu-dictionary-0046,194,1,cirupu,毛巾；方巾,Official Appendix 2A positioned text; barred-vowel forms cross-checked against duplicate Appendix 2B entry,yes,
song-2018-kanakanavu-dictionary-0047,194,1,ciuman,胖（人）；粗（物）,Official Appendix 2A positioned text; barred-vowel forms cross-checked against duplicate Appendix 2B entry,yes,
song-2018-kanakanavu-dictionary-0048,194,1,ciuru,針,Official Appendix 2A positioned text; barred-vowel forms cross-checked against duplicate Appendix 2B entry,yes,
song-2018-kanakanavu-dictionary-0049,194,1,civuka,胃,Official Appendix 2A positioned text; barred-vowel forms cross-checked against duplicate Appendix 2B entry,yes,
song-2018-kanakanavu-dictionary-0050,194,1,civu’u,竹筍,Official Appendix 2A positioned text; barred-vowel forms cross-checked against duplicate Appendix 2B entry,yes,
song-2018-kanakanavu-dictionary-0051,194,1,conu,姑婆芋,Official Appendix 2A positioned text; barred-vowel forms cross-checked against duplicate Appendix 2B entry,yes,
song-2018-kanakanavu-dictionary-0052,194,1,cuma,父親；爸爸,Official Appendix 2A positioned text; barred-vowel forms cross-checked against duplicate Appendix 2B entry,yes,
song-2018-kanakanavu-dictionary-0053,194,1,cuma vuravurau,叔叔；伯伯；舅舅；爸爸輩,Official Appendix 2A positioned text; barred-vowel forms cross-checked against duplicate Appendix 2B entry,yes,
song-2018-kanakanavu-dictionary-0054,194,1,cumacakʉpʉ,刺（以銳器）,Official Appendix 2A positioned text; barred-vowel forms cross-checked against duplicate Appendix 2B entry,yes,
song-2018-kanakanavu-dictionary-0055,194,1,cumácapa,烤,Official Appendix 2A positioned text; barred-vowel forms cross-checked against duplicate Appendix 2B entry,yes,
song-2018-kanakanavu-dictionary-0056,194,1,cumacaruvu,蓋被子,Official Appendix 2A positioned text; barred-vowel forms cross-checked against duplicate Appendix 2B entry,yes,
song-2018-kanakanavu-dictionary-0057,194,1,cumaca’ʉ,削製（竹、木、金屬）,Official Appendix 2A positioned text; barred-vowel forms cross-checked against duplicate Appendix 2B entry,yes,
song-2018-kanakanavu-dictionary-0058,194,1,cumacunu,燒（獵物或家禽的）毛,Official Appendix 2A positioned text; barred-vowel forms cross-checked against duplicate Appendix 2B entry,yes,
song-2018-kanakanavu-dictionary-0059,194,1,cumacʉ’ʉra,看,Official Appendix 2A positioned text; barred-vowel forms cross-checked against duplicate Appendix 2B entry,yes,
song-2018-kanakanavu-dictionary-0060,194,1,cumai,熊,Official Appendix 2A positioned text; barred-vowel forms cross-checked against duplicate Appendix 2B entry,yes,
song-2018-kanakanavu-dictionary-0061,194,1,cunuku,麻糬；年糕（有內餡）,Official Appendix 2A positioned text; barred-vowel forms cross-checked against duplicate Appendix 2B entry,yes,
song-2018-kanakanavu-dictionary-0062,194,1,cúngkucu,橋樑；梯子,Official Appendix 2A positioned text; barred-vowel forms cross-checked against duplicate Appendix 2B entry,yes,
song-2018-kanakanavu-dictionary-0063,194,1,curu; cucuru,很；非常；太；真的；的確,Official positioned text; language-sorted Appendix 2A,yes,
song-2018-kanakanavu-dictionary-0064,194,1,cusa,二（數數）,Official Appendix 2A positioned text; barred-vowel forms cross-checked against duplicate Appendix 2B entry,yes,
song-2018-kanakanavu-dictionary-0065,194,1,cu’uan,骨頭,Official Appendix 2A positioned text; barred-vowel forms cross-checked against duplicate Appendix 2B entry,yes,
song-2018-kanakanavu-dictionary-0066,194,2,cʉnʉ/ cʉʉn,草,Official Appendix 2A positioned text; barred-vowel forms cross-checked against duplicate Appendix 2B entry,yes,
song-2018-kanakanavu-dictionary-0067,194,2,cʉngnan,舊的,Official Appendix 2A positioned text; barred-vowel forms cross-checked against duplicate Appendix 2B entry,yes,
song-2018-kanakanavu-dictionary-0068,194,2,iávatu,來,Official positioned text; language-sorted Appendix 2A,yes,
song-2018-kanakanavu-dictionary-0069,194,2,icici,尾巴,Official Appendix 2A positioned text; barred-vowel forms cross-checked against duplicate Appendix 2B entry,yes,
song-2018-kanakanavu-dictionary-0070,194,2,íkamu; kamu; mu; kamua,你們,Official Appendix 2A positioned text; barred-vowel forms cross-checked against duplicate Appendix 2B entry,yes,
song-2018-kanakanavu-dictionary-0071,194,2,íkasu; kasu; musu; kasua,你,Official Appendix 2A positioned text; barred-vowel forms cross-checked against duplicate Appendix 2B entry,yes,
song-2018-kanakanavu-dictionary-0072,194,2,ikim; kim; mia; kimia,我們（排除式）,Official Appendix 2A positioned text; barred-vowel forms cross-checked against duplicate Appendix 2B entry,yes,
song-2018-kanakanavu-dictionary-0073,194,2,íkita; kita; mita; kitana,我們（包含式）；咱們,Official Appendix 2A positioned text; barred-vowel forms cross-checked against duplicate Appendix 2B entry,yes,
song-2018-kanakanavu-dictionary-0074,194,2,iku; ku; kia; maku; ’ikua,我,Official Appendix 2A positioned text; barred-vowel forms cross-checked against duplicate Appendix 2B entry,yes,
song-2018-kanakanavu-dictionary-0075,194,2,ímua,所以；因而；因此,Official Appendix 2A positioned text; barred-vowel forms cross-checked against duplicate Appendix 2B entry,yes,
song-2018-kanakanavu-dictionary-0076,194,2,in,他；如果,Official positioned text; language-sorted Appendix 2A,yes,
song-2018-kanakanavu-dictionary-0077,194,2,iriri,左邊,Official Appendix 2A positioned text; barred-vowel forms cross-checked against duplicate Appendix 2B entry,yes,
song-2018-kanakanavu-dictionary-0078,194,2,isa,那（說者與聽者看得見）,Official Appendix 2A positioned text; barred-vowel forms cross-checked against duplicate Appendix 2B entry,yes,
song-2018-kanakanavu-dictionary-0079,194,2,isi,這（個）,Official Appendix 2A positioned text; barred-vowel forms cross-checked against duplicate Appendix 2B entry,yes,
song-2018-kanakanavu-dictionary-0080,194,2,ísua,那（說者與聽者未必能見）,Official Appendix 2A positioned text; barred-vowel forms cross-checked against duplicate Appendix 2B entry,yes,
song-2018-kanakanavu-dictionary-0081,194,2,ivatá/ iváta,來（叫人來）,Official Appendix 2A positioned text; barred-vowel forms cross-checked against duplicate Appendix 2B entry,yes,
song-2018-kanakanavu-dictionary-0082,194,2,ivici,嘴巴,Official Appendix 2A positioned text; barred-vowel forms cross-checked against duplicate Appendix 2B entry,yes,
song-2018-kanakanavu-dictionary-0083,194,2,ivu,尿；小便,Official Appendix 2A positioned text; barred-vowel forms cross-checked against duplicate Appendix 2B entry,yes,
song-2018-kanakanavu-dictionary-0084,194,2,ka-,製作；做,Official positioned text; language-sorted Appendix 2A,no,Source prints a bound citation form with a trailing hyphen and supplies no unattached surface; entry excluded from the published XML.
song-2018-kanakanavu-dictionary-0085,194,2,kacaua,多（人）,Official Appendix 2A positioned text; barred-vowel forms cross-checked against duplicate Appendix 2B entry,yes,
song-2018-kanakanavu-dictionary-0086,194,2,kaisisi,祭祀；慶祝；慶典,Official Appendix 2A positioned text; barred-vowel forms cross-checked against duplicate Appendix 2B entry,yes,
song-2018-kanakanavu-dictionary-0087,195,1,kakámarʉ,鐮刀,Official Appendix 2A positioned text; barred-vowel forms cross-checked against duplicate Appendix 2B entry,yes,
song-2018-kanakanavu-dictionary-0088,195,1,kakangca,天空,Official Appendix 2A positioned text; barred-vowel forms cross-checked against duplicate Appendix 2B entry,yes,
song-2018-kanakanavu-dictionary-0089,195,1,kakicu,男用背負網袋,Official Appendix 2A positioned text; barred-vowel forms cross-checked against duplicate Appendix 2B entry,yes,
song-2018-kanakanavu-dictionary-0090,195,1,kamanʉngʉ/ kamanʉʉng,製作,Official Appendix 2A positioned text; barred-vowel forms cross-checked against duplicate Appendix 2B entry,yes,
song-2018-kanakanavu-dictionary-0091,195,1,kamu,你們,Official positioned text; language-sorted Appendix 2A,yes,
song-2018-kanakanavu-dictionary-0092,195,1,kamua,你們,Official positioned text; language-sorted Appendix 2A,yes,
song-2018-kanakanavu-dictionary-0093,195,1,Kanakanavu,本族的自稱用語,Official Appendix 2A positioned text; barred-vowel forms cross-checked against duplicate Appendix 2B entry,yes,
song-2018-kanakanavu-dictionary-0094,195,1,kanámara,秋天,Official Appendix 2A positioned text; barred-vowel forms cross-checked against duplicate Appendix 2B entry,yes,
song-2018-kanakanavu-dictionary-0095,195,1,kanárua,弟弟；妹妹,Official Appendix 2A positioned text; barred-vowel forms cross-checked against duplicate Appendix 2B entry,yes,
song-2018-kanakanavu-dictionary-0096,195,1,kanárua nanakʉ,妹妹,Official Appendix 2A positioned text; barred-vowel forms cross-checked against duplicate Appendix 2B entry,yes,
song-2018-kanakanavu-dictionary-0097,195,1,kanárua sarunai,弟弟,Official Appendix 2A positioned text; barred-vowel forms cross-checked against duplicate Appendix 2B entry,yes,
song-2018-kanakanavu-dictionary-0098,195,1,kana’amisan,冬天,Official Appendix 2A positioned text; barred-vowel forms cross-checked against duplicate Appendix 2B entry,yes,
song-2018-kanakanavu-dictionary-0099,195,1,kana’iara,春天,Official Appendix 2A positioned text; barred-vowel forms cross-checked against duplicate Appendix 2B entry,yes,
song-2018-kanakanavu-dictionary-0100,195,1,kaná’ua,哥哥；姊姊,Official Appendix 2A positioned text; barred-vowel forms cross-checked against duplicate Appendix 2B entry,yes,
song-2018-kanakanavu-dictionary-0101,195,1,kaná’ua nanakʉ,姊姊,Official Appendix 2A positioned text; barred-vowel forms cross-checked against duplicate Appendix 2B entry,yes,
song-2018-kanakanavu-dictionary-0102,195,1,kaná’ua sarunai,哥哥,Official Appendix 2A positioned text; barred-vowel forms cross-checked against duplicate Appendix 2B entry,yes,
song-2018-kanakanavu-dictionary-0103,195,1,kana’ʉcana,夏天,Official Appendix 2A positioned text; barred-vowel forms cross-checked against duplicate Appendix 2B entry,yes,
song-2018-kanakanavu-dictionary-0104,195,1,kani,聽說；表達訊息是聽來的或是不確定的,Official Appendix 2A positioned text; barred-vowel forms cross-checked against duplicate Appendix 2B entry,yes,
song-2018-kanakanavu-dictionary-0105,195,1,kara,疑問助詞,Official Appendix 2A positioned text; barred-vowel forms cross-checked against duplicate Appendix 2B entry,yes,
song-2018-kanakanavu-dictionary-0106,195,1,kara-,喝（端起來喝或用勺子；喝湯）,Official Appendix 2A positioned text; barred-vowel forms cross-checked against duplicate Appendix 2B entry,no,Source prints a bound citation form with a trailing hyphen and supplies no unattached surface; entry excluded from the published XML.
song-2018-kanakanavu-dictionary-0107,195,1,karapa’ici,喝酒,Official Appendix 2A positioned text; barred-vowel forms cross-checked against duplicate Appendix 2B entry,yes,
song-2018-kanakanavu-dictionary-0108,195,1,karara,籃子,Official Appendix 2A positioned text; barred-vowel forms cross-checked against duplicate Appendix 2B entry,yes,
song-2018-kanakanavu-dictionary-0109,195,1,karavung,牛,Official Appendix 2A positioned text; barred-vowel forms cross-checked against duplicate Appendix 2B entry,yes,
song-2018-kanakanavu-dictionary-0110,195,1,kara’au / kara’o,喝湯,Official Appendix 2A positioned text; barred-vowel forms cross-checked against duplicate Appendix 2B entry,yes,
song-2018-kanakanavu-dictionary-0111,195,1,kari,語言；話語,Official Appendix 2A positioned text; barred-vowel forms cross-checked against duplicate Appendix 2B entry,yes,
song-2018-kanakanavu-dictionary-0112,195,1,Karianasau,播種祭,Official Appendix 2A positioned text; barred-vowel forms cross-checked against duplicate Appendix 2B entry,yes,
song-2018-kanakanavu-dictionary-0113,195,1,karu,樹木；柴薪,Official Appendix 2A positioned text; barred-vowel forms cross-checked against duplicate Appendix 2B entry,yes,
song-2018-kanakanavu-dictionary-0114,195,1,kasa,魚簍,Official Appendix 2A positioned text; barred-vowel forms cross-checked against duplicate Appendix 2B entry,yes,
song-2018-kanakanavu-dictionary-0115,195,1,kasa,斗笠,Official Appendix 2A positioned text; barred-vowel forms cross-checked against duplicate Appendix 2B entry,yes,
song-2018-kanakanavu-dictionary-0116,195,1,kasu,你,Official positioned text; language-sorted Appendix 2A,yes,
song-2018-kanakanavu-dictionary-0117,195,1,kasua,你,Official positioned text; language-sorted Appendix 2A,yes,
song-2018-kanakanavu-dictionary-0118,195,2,kava,皮（人或動物）；皮膚,Official Appendix 2A positioned text; barred-vowel forms cross-checked against duplicate Appendix 2B entry,yes,
song-2018-kanakanavu-dictionary-0119,195,2,kavangvang / kangvang,全部；都；也,Official Appendix 2A positioned text; barred-vowel forms cross-checked against duplicate Appendix 2B entry,yes,
song-2018-kanakanavu-dictionary-0120,195,2,ka’anʉ/ ka’aan,不（會）；沒有,Official Appendix 2A positioned text; barred-vowel forms cross-checked against duplicate Appendix 2B entry,yes,
song-2018-kanakanavu-dictionary-0121,195,2,ka’anʉ/ ka’aan,不是,Official Appendix 2A positioned text; barred-vowel forms cross-checked against duplicate Appendix 2B entry,yes,
song-2018-kanakanavu-dictionary-0122,195,2,ka’umó’uma,開墾；做田,Official Appendix 2A positioned text; barred-vowel forms cross-checked against duplicate Appendix 2B entry,yes,
song-2018-kanakanavu-dictionary-0123,195,2,kee,他,Official positioned text; language-sorted Appendix 2A,yes,
song-2018-kanakanavu-dictionary-0124,195,2,kesoni,問；詢問,Official Appendix 2A positioned text; barred-vowel forms cross-checked against duplicate Appendix 2B entry,yes,
song-2018-kanakanavu-dictionary-0125,195,2,kia,我,Official positioned text; language-sorted Appendix 2A,yes,
song-2018-kanakanavu-dictionary-0126,195,2,kiatúturu,學習,Official Appendix 2A positioned text; barred-vowel forms cross-checked against duplicate Appendix 2B entry,yes,
song-2018-kanakanavu-dictionary-0127,195,2,kim,我們（排除式）,Official positioned text; language-sorted Appendix 2A,yes,
song-2018-kanakanavu-dictionary-0128,195,2,kimia,我們（排除式）,Official positioned text; language-sorted Appendix 2A,yes,
song-2018-kanakanavu-dictionary-0129,195,2,kincaua,親戚,Official Appendix 2A positioned text; barred-vowel forms cross-checked against duplicate Appendix 2B entry,yes,
song-2018-kanakanavu-dictionary-0130,195,2,kinvara / kinvaia,兄弟姐妹；堂、表兄弟姐妹,Official positioned text; language-sorted Appendix 2A,yes,
song-2018-kanakanavu-dictionary-0131,195,2,kita,我們（包含式）；咱們,Official positioned text; language-sorted Appendix 2A,yes,
song-2018-kanakanavu-dictionary-0132,195,2,kitana,我們（包含式）；咱們,Official positioned text; language-sorted Appendix 2A,yes,
song-2018-kanakanavu-dictionary-0133,195,2,ko-,吃,Official Appendix 2A positioned text; barred-vowel forms cross-checked against duplicate Appendix 2B entry,no,Source prints a bound citation form with a trailing hyphen and supplies no unattached surface; entry excluded from the published XML.
song-2018-kanakanavu-dictionary-0134,195,2,koo,沒；沒有（做某事）,Official Appendix 2A positioned text; barred-vowel forms cross-checked against duplicate Appendix 2B entry,yes,
song-2018-kanakanavu-dictionary-0135,195,2,koca’ánia,吃午餐（吃白天的）,Official Appendix 2A positioned text; barred-vowel forms cross-checked against duplicate Appendix 2B entry,yes,
song-2018-kanakanavu-dictionary-0136,195,2,kocici,吃早餐（吃熱的）,Official positioned text; language-sorted Appendix 2A,yes,
song-2018-kanakanavu-dictionary-0137,195,2,koravi,吃晚餐（吃最後的）,Official Appendix 2A positioned text; barred-vowel forms cross-checked against duplicate Appendix 2B entry,yes,
song-2018-kanakanavu-dictionary-0138,195,2,kó’ua,偷竊,Official Appendix 2A positioned text; barred-vowel forms cross-checked against duplicate Appendix 2B entry,yes,
song-2018-kanakanavu-dictionary-0139,196,1,ku,我,Official positioned text; language-sorted Appendix 2A,yes,
song-2018-kanakanavu-dictionary-0140,196,1,kukuca,背部；背面；後面（建物）,Official Appendix 2A positioned text; barred-vowel forms cross-checked against duplicate Appendix 2B entry,yes,
song-2018-kanakanavu-dictionary-0141,196,1,kumakiri,栓住,Official Appendix 2A positioned text; barred-vowel forms cross-checked against duplicate Appendix 2B entry,yes,
song-2018-kanakanavu-dictionary-0142,196,1,kumakiríkiri,抓癢,Official Appendix 2A positioned text; barred-vowel forms cross-checked against duplicate Appendix 2B entry,yes,
song-2018-kanakanavu-dictionary-0143,196,1,kumakoru,挖掘；挖洞,Official Appendix 2A positioned text; barred-vowel forms cross-checked against duplicate Appendix 2B entry,yes,
song-2018-kanakanavu-dictionary-0144,196,1,kumakuici,剝果皮、樹皮,Official Appendix 2A positioned text; barred-vowel forms cross-checked against duplicate Appendix 2B entry,yes,
song-2018-kanakanavu-dictionary-0145,196,1,kumakusúkusu,剃髮,Official Appendix 2A positioned text; barred-vowel forms cross-checked against duplicate Appendix 2B entry,yes,
song-2018-kanakanavu-dictionary-0146,196,1,kumakʉnʉ/ kumakʉʉn,吃,Official Appendix 2A positioned text; barred-vowel forms cross-checked against duplicate Appendix 2B entry,yes,
song-2018-kanakanavu-dictionary-0147,196,1,kuncu,毛,Official Appendix 2A positioned text; barred-vowel forms cross-checked against duplicate Appendix 2B entry,yes,
song-2018-kanakanavu-dictionary-0148,196,1,kunga’a,鴨,Official Appendix 2A positioned text; barred-vowel forms cross-checked against duplicate Appendix 2B entry,yes,
song-2018-kanakanavu-dictionary-0149,196,1,kurai,蟲,Official Appendix 2A positioned text; barred-vowel forms cross-checked against duplicate Appendix 2B entry,yes,
song-2018-kanakanavu-dictionary-0150,196,1,kuratumuru,滿,Official Appendix 2A positioned text; barred-vowel forms cross-checked against duplicate Appendix 2B entry,yes,
song-2018-kanakanavu-dictionary-0151,196,1,kurisivatʉ,倒臥,Official Appendix 2A positioned text; barred-vowel forms cross-checked against duplicate Appendix 2B entry,yes,
song-2018-kanakanavu-dictionary-0152,196,1,kuruma,車子,Official positioned text; language-sorted Appendix 2A,yes,
song-2018-kanakanavu-dictionary-0153,196,1,kusu,梳子,Official Appendix 2A positioned text; barred-vowel forms cross-checked against duplicate Appendix 2B entry,yes,
song-2018-kanakanavu-dictionary-0154,196,1,kʉkʉnangʉ/ kʉkʉnang,同伴；夥伴,Official Appendix 2A positioned text; barred-vowel forms cross-checked against duplicate Appendix 2B entry,yes,
song-2018-kanakanavu-dictionary-0155,196,1,kʉna,食物,Official Appendix 2A positioned text; barred-vowel forms cross-checked against duplicate Appendix 2B entry,yes,
song-2018-kanakanavu-dictionary-0156,196,1,maan,十（數數）,Official positioned text; language-sorted Appendix 2A,yes,
song-2018-kanakanavu-dictionary-0157,196,1,mácaca,笑,Official Appendix 2A positioned text; barred-vowel forms cross-checked against duplicate Appendix 2B entry,yes,
song-2018-kanakanavu-dictionary-0158,196,1,macaraini / macareni / macara / kacaraiin,可憐；值得憐憫,Official positioned text; language-sorted Appendix 2A,yes,
song-2018-kanakanavu-dictionary-0159,196,1,macakuarʉ,滿（食物）,Official Appendix 2A positioned text; barred-vowel forms cross-checked against duplicate Appendix 2B entry,yes,
song-2018-kanakanavu-dictionary-0160,196,1,macangcangarʉ,高興；快樂,Official Appendix 2A positioned text; barred-vowel forms cross-checked against duplicate Appendix 2B entry,yes,
song-2018-kanakanavu-dictionary-0161,196,1,macaru,滑的,Official Appendix 2A positioned text; barred-vowel forms cross-checked against duplicate Appendix 2B entry,yes,
song-2018-kanakanavu-dictionary-0162,196,1,macasʉ,長,Official Appendix 2A positioned text; barred-vowel forms cross-checked against duplicate Appendix 2B entry,yes,
song-2018-kanakanavu-dictionary-0163,196,1,maca’ivi,經過（時間上的）,Official positioned text; language-sorted Appendix 2A,yes,
song-2018-kanakanavu-dictionary-0164,196,1,maciasʉ,明亮的,Official Appendix 2A positioned text; barred-vowel forms cross-checked against duplicate Appendix 2B entry,yes,
song-2018-kanakanavu-dictionary-0165,196,1,macici,悶熱；不通風,Official Appendix 2A positioned text; barred-vowel forms cross-checked against duplicate Appendix 2B entry,yes,
song-2018-kanakanavu-dictionary-0166,196,1,macici,熱；燙,Official Appendix 2A positioned text; barred-vowel forms cross-checked against duplicate Appendix 2B entry,yes,
song-2018-kanakanavu-dictionary-0167,196,1,mácina,梳洗,Official Appendix 2A positioned text; barred-vowel forms cross-checked against duplicate Appendix 2B entry,yes,
song-2018-kanakanavu-dictionary-0168,196,1,macuru,熟（烹煮）,Official Appendix 2A positioned text; barred-vowel forms cross-checked against duplicate Appendix 2B entry,yes,
song-2018-kanakanavu-dictionary-0169,196,1,macu’u,果實,Official Appendix 2A positioned text; barred-vowel forms cross-checked against duplicate Appendix 2B entry,yes,
song-2018-kanakanavu-dictionary-0170,196,2,maica / ’apaica,經過（空間上的）,Official positioned text; language-sorted Appendix 2A,yes,
song-2018-kanakanavu-dictionary-0171,196,2,maimʉʉn,五十,Official Appendix 2A positioned text; barred-vowel forms cross-checked against duplicate Appendix 2B entry,yes,
song-2018-kanakanavu-dictionary-0172,196,2,makacang,馬上；立即；就,Official Appendix 2A positioned text; barred-vowel forms cross-checked against duplicate Appendix 2B entry,yes,
