scope	record_id	source_page	expected_input	decision_class	output_forms_json	evidence
dictionary	song-2018-kanakanavu-dictionary-0073	194	íkita; kita; mita; kitana	source_semicolon_lexemes	"[""íkita"",""kita"",""mita"",""kitana""]"	Reader p193 instruction 2 defines semicolon-separated forms as related words or pronoun case forms
dictionary	song-2018-kanakanavu-dictionary-0074	194	iku; ku; kia; maku; 'ikua	source_semicolon_lexemes	"[""iku"",""ku"",""kia"",""maku"",""'ikua""]"	Reader p193 instruction 2 defines semicolon-separated forms as related words or pronoun case forms
dictionary	song-2018-kanakanavu-dictionary-0081	194	ivatá/ iváta	source_slash_variants	"[""ivatá"",""iváta""]"	Reader p193 instruction 2 defines slash-separated forms as pronunciation variants or forms whose roots vary under suffixation
dictionary	song-2018-kanakanavu-dictionary-0084	194	ka-	bound_form_entry_excluded	[]	Appendix 2A prints a terminal hyphen and supplies no unattached surface; entry deleted from the published XML per review decision (exclusion recorded in intermediate/dictionary_ledger.csv)
dictionary	song-2018-kanakanavu-dictionary-0090	195	kamanʉngʉ/ kamanʉʉng	source_slash_variants	"[""kamanʉngʉ"",""kamanʉʉng""]"	Reader p193 instruction 2 defines slash-separated forms as pronunciation variants or forms whose roots vary under suffixation
dictionary	song-2018-kanakanavu-dictionary-0106	195	kara-	bound_form_entry_excluded	[]	Appendix 2A prints a terminal hyphen and supplies no unattached surface; entry deleted from the published XML per review decision (exclusion recorded in intermediate/dictionary_ledger.csv)
dictionary	song-2018-kanakanavu-dictionary-0110	195	kara'au / kara'o	source_slash_variants	"[""kara'au"",""kara'o""]"	Reader p193 instruction 2 defines slash-separated forms as pronunciation variants or forms whose roots vary under suffixation
dictionary	song-2018-kanakanavu-dictionary-0119	195	kavangvang / kangvang	source_slash_variants	"[""kavangvang"",""kangvang""]"	Reader p193 instruction 2 defines slash-separated forms as pronunciation variants or forms whose roots vary under suffixation
dictionary	song-2018-kanakanavu-dictionary-0120	195	ka'anʉ/ ka'aan	source_slash_variants	"[""ka'anʉ"",""ka'aan""]"	Reader p193 instruction 2 defines slash-separated forms as pronunciation variants or forms whose roots vary under suffixation
dictionary	song-2018-kanakanavu-dictionary-0121	195	ka'anʉ/ ka'aan	source_slash_variants	"[""ka'anʉ"",""ka'aan""]"	Reader p193 instruction 2 defines slash-separated forms as pronunciation variants or forms whose roots vary under suffixation
dictionary	song-2018-kanakanavu-dictionary-0130	195	kinvara / kinvaia	source_slash_variants	"[""kinvara"",""kinvaia""]"	Reader p193 instruction 2 defines slash-separated forms as pronunciation variants or forms whose roots vary under suffixation
dictionary	song-2018-kanakanavu-dictionary-0133	195	ko-	bound_form_entry_excluded	[]	Appendix 2A prints a terminal hyphen and supplies no unattached surface; entry deleted from the published XML per review decision (exclusion recorded in intermediate/dictionary_ledger.csv)
dictionary	song-2018-kanakanavu-dictionary-0146	196	kumakʉnʉ/ kumakʉʉn	source_slash_variants	"[""kumakʉnʉ"",""kumakʉʉn""]"	Reader p193 instruction 2 defines slash-separated forms as pronunciation variants or forms whose roots vary under suffixation
dictionary	song-2018-kanakanavu-dictionary-0154	196	kʉkʉnangʉ/ kʉkʉnang	source_slash_variants	"[""kʉkʉnangʉ"",""kʉkʉnang""]"	Reader p193 instruction 2 defines slash-separated forms as pronunciation variants or forms whose roots vary under suffixation
dictionary	song-2018-kanakanavu-dictionary-0158	196	macaraini / macareni / macara / kacaraiin	source_slash_variants	"[""macaraini"",""macareni"",""macara"",""kacaraiin""]"	Reader p193 instruction 2 defines slash-separated forms as pronunciation variants or forms whose roots vary under suffixation
dictionary	song-2018-kanakanavu-dictionary-0170	196	maica / 'apaica	source_slash_variants	"[""maica"",""'apaica""]"	Reader p193 instruction 2 defines slash-separated forms as pronunciation variants or forms whose roots vary under suffixation
dictionary	song-2018-kanakanavu-dictionary-0183	196	makásua / pakasuun	source_slash_variants	"[""makásua"",""pakasuun""]"	Reader p193 instruction 2 defines slash-separated forms as pronunciation variants or forms whose roots vary under suffixation
dictionary	song-2018-kanakanavu-dictionary-0186	196	makungu / makuung	source_slash_variants	"[""makungu"",""makuung""]"	Reader p193 instruction 2 defines slash-separated forms as pronunciation variants or forms whose roots vary under suffixation
dictionary	song-2018-kanakanavu-dictionary-0193	196	mámia / maa	source_slash_variants	"[""mámia"",""maa""]"	Reader p193 instruction 2 defines slash-separated forms as pronunciation variants or forms whose roots vary under suffixation
dictionary	song-2018-kanakanavu-dictionary-0199	196	mane'i / mane'e	source_slash_variants	"[""mane'i"",""mane'e""]"	Reader p193 instruction 2 defines slash-separated forms as pronunciation variants or forms whose roots vary under suffixation
dictionary	song-2018-kanakanavu-dictionary-0202	197	manmaan / ka'anmanʉn	source_slash_variants	"[""manmaan"",""ka'anmanʉn""]"	Reader p193 instruction 2 defines slash-separated forms as pronunciation variants or forms whose roots vary under suffixation
dictionary	song-2018-kanakanavu-dictionary-0208	197	mangtʉ'ai / mangtʉ'e	source_slash_variants	"[""mangtʉ'ai"",""mangtʉ'e""]"	Reader p193 instruction 2 defines slash-separated forms as pronunciation variants or forms whose roots vary under suffixation
dictionary	song-2018-kanakanavu-dictionary-0209	197	manguru / umanguru	source_slash_variants	"[""manguru"",""umanguru""]"	Reader p193 instruction 2 defines slash-separated forms as pronunciation variants or forms whose roots vary under suffixation
dictionary	song-2018-kanakanavu-dictionary-0210	197	mangʉrʉ/ umangʉrʉ	source_slash_variants	"[""mangʉrʉ"",""umangʉrʉ""]"	Reader p193 instruction 2 defines slash-separated forms as pronunciation variants or forms whose roots vary under suffixation
dictionary	song-2018-kanakanavu-dictionary-0211	197	mangʉrʉ/ umangʉrʉ	source_slash_variants	"[""mangʉrʉ"",""umangʉrʉ""]"	Reader p193 instruction 2 defines slash-separated forms as pronunciation variants or forms whose roots vary under suffixation
dictionary	song-2018-kanakanavu-dictionary-0216	197	mapurai / puraion	source_slash_variants	"[""mapurai"",""puraion""]"	Reader p193 instruction 2 defines slash-separated forms as pronunciation variants or forms whose roots vary under suffixation
dictionary	song-2018-kanakanavu-dictionary-0219	197	mara / umara	source_slash_variants	"[""mara"",""umara""]"	Reader p193 instruction 2 defines slash-separated forms as pronunciation variants or forms whose roots vary under suffixation
dictionary	song-2018-kanakanavu-dictionary-0222	197	marápici / marípici	source_slash_variants	"[""marápici"",""marípici""]"	Reader p193 instruction 2 defines slash-separated forms as pronunciation variants or forms whose roots vary under suffixation
dictionary	song-2018-kanakanavu-dictionary-0226	197	marikʉrʉ/ arikʉroo	source_slash_variants	"[""marikʉrʉ"",""arikʉroo""]"	Reader p193 instruction 2 defines slash-separated forms as pronunciation variants or forms whose roots vary under suffixation
dictionary	song-2018-kanakanavu-dictionary-0228	197	marisauvu / marisovu	source_slash_variants	"[""marisauvu"",""marisovu""]"	Reader p193 instruction 2 defines slash-separated forms as pronunciation variants or forms whose roots vary under suffixation
dictionary	song-2018-kanakanavu-dictionary-0248	197	masakʉnʉ/ kasakʉnʉ	source_slash_variants	"[""masakʉnʉ"",""kasakʉnʉ""]"	Reader p193 instruction 2 defines slash-separated forms as pronunciation variants or forms whose roots vary under suffixation
dictionary	song-2018-kanakanavu-dictionary-0252	197	masi-	bound_form_entry_excluded	[]	Appendix 2A prints a terminal hyphen and supplies no unattached surface; entry deleted from the published XML per review decision (exclusion recorded in intermediate/dictionary_ledger.csv)
dictionary	song-2018-kanakanavu-dictionary-0257	198	masini / masiin / mahiin	source_slash_variants	"[""masini"",""masiin"",""mahiin""]"	Reader p193 instruction 2 defines slash-separated forms as pronunciation variants or forms whose roots vary under suffixation
dictionary	song-2018-kanakanavu-dictionary-0263	198	masʉpatʉnʉ/ masʉpatʉʉn	source_slash_variants	"[""masʉpatʉnʉ"",""masʉpatʉʉn""]"	Reader p193 instruction 2 defines slash-separated forms as pronunciation variants or forms whose roots vary under suffixation
dictionary	song-2018-kanakanavu-dictionary-0266	198	matanganai / patanganai	source_slash_variants	"[""matanganai"",""patanganai""]"	Reader p193 instruction 2 defines slash-separated forms as pronunciation variants or forms whose roots vary under suffixation
dictionary	song-2018-kanakanavu-dictionary-0275	198	matimanʉngʉ/ matimanʉʉng / patimanʉngʉ	source_slash_variants	"[""matimanʉngʉ"",""matimanʉʉng"",""patimanʉngʉ""]"	Reader p193 instruction 2 defines slash-separated forms as pronunciation variants or forms whose roots vary under suffixation
dictionary	song-2018-kanakanavu-dictionary-0280	198	matupuru / matuapuru	source_slash_variants	"[""matupuru"",""matuapuru""]"	Reader p193 instruction 2 defines slash-separated forms as pronunciation variants or forms whose roots vary under suffixation
dictionary	song-2018-kanakanavu-dictionary-0285	198	mavangʉ/ mavaang	source_slash_variants	"[""mavangʉ"",""mavaang""]"	Reader p193 instruction 2 defines slash-separated forms as pronunciation variants or forms whose roots vary under suffixation
dictionary	song-2018-kanakanavu-dictionary-0286	198	mavangʉ/ mavaang	source_slash_variants	"[""mavangʉ"",""mavaang""]"	Reader p193 instruction 2 defines slash-separated forms as pronunciation variants or forms whose roots vary under suffixation
dictionary	song-2018-kanakanavu-dictionary-0288	198	mavici / umavici	source_slash_variants	"[""mavici"",""umavici""]"	Reader p193 instruction 2 defines slash-separated forms as pronunciation variants or forms whose roots vary under suffixation
dictionary	song-2018-kanakanavu-dictionary-0298	198	ma'unu / uma'unu	source_slash_variants	"[""ma'unu"",""uma'unu""]"	Reader p193 instruction 2 defines slash-separated forms as pronunciation variants or forms whose roots vary under suffixation
dictionary	song-2018-kanakanavu-dictionary-0300	198	meesua / miaasua / meehua	source_slash_variants	"[""meesua"",""miaasua"",""meehua""]"	Reader p193 instruction 2 defines slash-separated forms as pronunciation variants or forms whose roots vary under suffixation
dictionary	song-2018-kanakanavu-dictionary-0302	198	me'icunu / me'ecunu	source_slash_variants	"[""me'icunu"",""me'ecunu""]"	Reader p193 instruction 2 defines slash-separated forms as pronunciation variants or forms whose roots vary under suffixation
dictionary	song-2018-kanakanavu-dictionary-0304	198	miácara / mécara	source_slash_variants	"[""miácara"",""mécara""]"	Reader p193 instruction 2 defines slash-separated forms as pronunciation variants or forms whose roots vary under suffixation
dictionary	song-2018-kanakanavu-dictionary-0305	199	miacicini / miacicin	source_slash_variants	"[""miacicini"",""miacicin""]"	Reader p193 instruction 2 defines slash-separated forms as pronunciation variants or forms whose roots vary under suffixation
dictionary	song-2018-kanakanavu-dictionary-0306	199	miácu'u / mécu'u	source_slash_variants	"[""miácu'u"",""mécu'u""]"	Reader p193 instruction 2 defines slash-separated forms as pronunciation variants or forms whose roots vary under suffixation
dictionary	song-2018-kanakanavu-dictionary-0307	199	miapacai / mepacai	source_slash_variants	"[""miapacai"",""mepacai""]"	Reader p193 instruction 2 defines slash-separated forms as pronunciation variants or forms whose roots vary under suffixation
dictionary	song-2018-kanakanavu-dictionary-0312	199	Mikongu / Mikoong	source_slash_variants	"[""Mikongu"",""Mikoong""]"	Reader p193 instruction 2 defines slash-separated forms as pronunciation variants or forms whose roots vary under suffixation
dictionary	song-2018-kanakanavu-dictionary-0319	199	miseni / miseen	source_slash_variants	"[""miseni"",""miseen""]"	Reader p193 instruction 2 defines slash-separated forms as pronunciation variants or forms whose roots vary under suffixation
dictionary	song-2018-kanakanavu-dictionary-0323	199	moon; poon	source_semicolon_lexemes	"[""moon"",""poon""]"	Reader p193 instruction 2 defines semicolon-separated forms as related words or pronoun case forms
dictionary	song-2018-kanakanavu-dictionary-0325	199	móvua / vʉʉn	source_slash_variants	"[""móvua"",""vʉʉn""]"	Reader p193 instruction 2 defines slash-separated forms as pronunciation variants or forms whose roots vary under suffixation
dictionary	song-2018-kanakanavu-dictionary-0330	199	múciri / 'apuciri	source_slash_variants	"[""múciri"",""'apuciri""]"	Reader p193 instruction 2 defines slash-separated forms as pronunciation variants or forms whose roots vary under suffixation
dictionary	song-2018-kanakanavu-dictionary-0331	199	mucunu / mocun	source_slash_variants	"[""mucunu"",""mocun""]"	Reader p193 instruction 2 defines slash-separated forms as pronunciation variants or forms whose roots vary under suffixation
dictionary	song-2018-kanakanavu-dictionary-0332	199	múkusa / mókusa	source_slash_variants	"[""múkusa"",""mókusa""]"	Reader p193 instruction 2 defines slash-separated forms as pronunciation variants or forms whose roots vary under suffixation
dictionary	song-2018-kanakanavu-dictionary-0334	199	mukʉrʉ/ ukʉrʉʉn	source_slash_variants	"[""mukʉrʉ"",""ukʉrʉʉn""]"	Reader p193 instruction 2 defines slash-separated forms as pronunciation variants or forms whose roots vary under suffixation
dictionary	song-2018-kanakanavu-dictionary-0343	199	muranʉ/ muraan / moraan / uranʉʉn	source_slash_variants	"[""muranʉ"",""muraan"",""moraan"",""uranʉʉn""]"	Reader p193 instruction 2 defines slash-separated forms as pronunciation variants or forms whose roots vary under suffixation
dictionary	song-2018-kanakanavu-dictionary-0347	199	muru'ucangʉ; 'arupara	source_semicolon_lexemes	"[""muru'ucangʉ"",""'arupara""]"	Reader p193 instruction 2 defines semicolon-separated forms as related words or pronoun case forms
dictionary	song-2018-kanakanavu-dictionary-0358	199	musuvʉrʉsai / musuvʉrʉse	source_slash_variants	"[""musuvʉrʉsai"",""musuvʉrʉse""]"	Reader p193 instruction 2 defines slash-separated forms as pronunciation variants or forms whose roots vary under suffixation
dictionary	song-2018-kanakanavu-dictionary-0359	199	musʉ'ʉ/ usʉ'ʉn	source_slash_variants	"[""musʉ'ʉ"",""usʉ'ʉn""]"	Reader p193 instruction 2 defines slash-separated forms as pronunciation variants or forms whose roots vary under suffixation
dictionary	song-2018-kanakanavu-dictionary-0361	200	muvʉngʉ/ uvʉngʉʉn	source_slash_variants	"[""muvʉngʉ"",""uvʉngʉʉn""]"	Reader p193 instruction 2 defines slash-separated forms as pronunciation variants or forms whose roots vary under suffixation
dictionary	song-2018-kanakanavu-dictionary-0366	200	na-	bound_form_entry_excluded	[]	Appendix 2A prints a terminal hyphen and supplies no unattached surface; entry deleted from the published XML per review decision (exclusion recorded in intermediate/dictionary_ledger.csv)
dictionary	song-2018-kanakanavu-dictionary-0367	200	Nakasayana / Pakísia	source_slash_variants	"[""Nakasayana"",""Pakísia""]"	Reader p193 instruction 2 defines slash-separated forms as pronunciation variants or forms whose roots vary under suffixation
dictionary	song-2018-kanakanavu-dictionary-0378	200	navungu / navuung	source_slash_variants	"[""navungu"",""navuung""]"	Reader p193 instruction 2 defines slash-separated forms as pronunciation variants or forms whose roots vary under suffixation
dictionary	song-2018-kanakanavu-dictionary-0379	200	neni / neen	source_slash_variants	"[""neni"",""neen""]"	Reader p193 instruction 2 defines slash-separated forms as pronunciation variants or forms whose roots vary under suffixation
dictionary	song-2018-kanakanavu-dictionary-0380	200	neni / neen	source_slash_variants	"[""neni"",""neen""]"	Reader p193 instruction 2 defines slash-separated forms as pronunciation variants or forms whose roots vary under suffixation
dictionary	song-2018-kanakanavu-dictionary-0388	200	noo; ucaniava	source_semicolon_lexemes	"[""noo"",""ucaniava""]"	Reader p193 instruction 2 defines semicolon-separated forms as related words or pronoun case forms
dictionary	song-2018-kanakanavu-dictionary-0389	200	nuaceni / nuaceen	source_slash_variants	"[""nuaceni"",""nuaceen""]"	Reader p193 instruction 2 defines slash-separated forms as pronunciation variants or forms whose roots vary under suffixation
dictionary	song-2018-kanakanavu-dictionary-0391	200	nukai / nokai	source_slash_variants	"[""nukai"",""nokai""]"	Reader p193 instruction 2 defines slash-separated forms as pronunciation variants or forms whose roots vary under suffixation
dictionary	song-2018-kanakanavu-dictionary-0392	200	nukanmana / nukunmana; minmana	source_mixed_lexical_variants	"[""nukanmana"",""nukunmana"",""minmana""]"	Reader p193 instruction 2 defines slash forms as pronunciation or affix-conditioned variants and semicolon forms as related lexemes or pronoun case forms
dictionary	song-2018-kanakanavu-dictionary-0393	200	numanʉ/ numaan	source_slash_variants	"[""numanʉ"",""numaan""]"	Reader p193 instruction 2 defines slash-separated forms as pronunciation variants or forms whose roots vary under suffixation
dictionary	song-2018-kanakanavu-dictionary-0394	200	numanʉ/ numaan	source_slash_variants	"[""numanʉ"",""numaan""]"	Reader p193 instruction 2 defines slash-separated forms as pronunciation variants or forms whose roots vary under suffixation
dictionary	song-2018-kanakanavu-dictionary-0411	200	pacʉpʉngʉ/ pacʉpʉʉng / pacʉpʉcʉpʉngʉ	source_slash_variants	"[""pacʉpʉngʉ"",""pacʉpʉʉng"",""pacʉpʉcʉpʉngʉ""]"	Reader p193 instruction 2 defines slash-separated forms as pronunciation variants or forms whose roots vary under suffixation
dictionary	song-2018-kanakanavu-dictionary-0412	200	Pakísia / Nakasayana	source_slash_variants	"[""Pakísia"",""Nakasayana""]"	Reader p193 instruction 2 defines slash-separated forms as pronunciation variants or forms whose roots vary under suffixation
dictionary	song-2018-kanakanavu-dictionary-0419	201	papeni / papeen	source_slash_variants	"[""papeni"",""papeen""]"	Reader p193 instruction 2 defines slash-separated forms as pronunciation variants or forms whose roots vary under suffixation
dictionary	song-2018-kanakanavu-dictionary-0433	201	paisi / pesi	source_slash_variants	"[""paisi"",""pesi""]"	Reader p193 instruction 2 defines slash-separated forms as pronunciation variants or forms whose roots vary under suffixation
dictionary	song-2018-kanakanavu-dictionary-0440	201	po-	bound_form_entry_excluded	[]	Appendix 2A prints a terminal hyphen and supplies no unattached surface; entry deleted from the published XML per review decision (exclusion recorded in intermediate/dictionary_ledger.csv)
dictionary	song-2018-kanakanavu-dictionary-0450	201	pusu'anʉ/ pusu'aan	source_slash_variants	"[""pusu'anʉ"",""pusu'aan""]"	Reader p193 instruction 2 defines slash-separated forms as pronunciation variants or forms whose roots vary under suffixation
dictionary	song-2018-kanakanavu-dictionary-0451	201	putairi / puteri	source_slash_variants	"[""putairi"",""puteri""]"	Reader p193 instruction 2 defines slash-separated forms as pronunciation variants or forms whose roots vary under suffixation
dictionary	song-2018-kanakanavu-dictionary-0456	201	pu'ʉʉn; mapu'a	source_semicolon_lexemes	"[""pu'ʉʉn"",""mapu'a""]"	Reader p193 instruction 2 defines semicolon-separated forms as related words or pronoun case forms
dictionary	song-2018-kanakanavu-dictionary-0471	201	rarʉngʉ/ rarʉʉng	source_slash_variants	"[""rarʉngʉ"",""rarʉʉng""]"	Reader p193 instruction 2 defines slash-separated forms as pronunciation variants or forms whose roots vary under suffixation
dictionary	song-2018-kanakanavu-dictionary-0490	202	sarunai / saronai	source_slash_variants	"[""sarunai"",""saronai""]"	Reader p193 instruction 2 defines slash-separated forms as pronunciation variants or forms whose roots vary under suffixation
dictionary	song-2018-kanakanavu-dictionary-0493	202	saviki / 'aviki	source_slash_variants	"[""saviki"",""'aviki""]"	Reader p193 instruction 2 defines slash-separated forms as pronunciation variants or forms whose roots vary under suffixation
dictionary	song-2018-kanakanavu-dictionary-0498	202	siarapici; hasami	source_semicolon_lexemes	"[""siarapici"",""hasami""]"	Reader p193 instruction 2 defines semicolon-separated forms as related words or pronoun case forms
dictionary	song-2018-kanakanavu-dictionary-0499	202	siaritungu / siarituung / serituung	source_slash_variants	"[""siaritungu"",""siarituung"",""serituung""]"	Reader p193 instruction 2 defines slash-separated forms as pronunciation variants or forms whose roots vary under suffixation
dictionary	song-2018-kanakanavu-dictionary-0502	202	sika-	bound_form_entry_excluded	[]	Appendix 2A prints a terminal hyphen and supplies no unattached surface; entry deleted from the published XML per review decision (exclusion recorded in intermediate/dictionary_ledger.csv)
dictionary	song-2018-kanakanavu-dictionary-0505	202	sinangʉ/sinaang	source_slash_variants	"[""sinangʉ"",""sinaang""]"	Reader p193 instruction 2 defines slash-separated forms as pronunciation variants or forms whose roots vary under suffixation
dictionary	song-2018-kanakanavu-dictionary-0518	202	sumasuruvai / sumasuruve	source_slash_variants	"[""sumasuruvai"",""sumasuruve""]"	Reader p193 instruction 2 defines slash-separated forms as pronunciation variants or forms whose roots vary under suffixation
dictionary	song-2018-kanakanavu-dictionary-0524	202	tacini / taciin	source_slash_variants	"[""tacini"",""taciin""]"	Reader p193 instruction 2 defines slash-separated forms as pronunciation variants or forms whose roots vary under suffixation
dictionary	song-2018-kanakanavu-dictionary-0526	202	takacicin / takacicini	source_slash_variants	"[""takacicin"",""takacicini""]"	Reader p193 instruction 2 defines slash-separated forms as pronunciation variants or forms whose roots vary under suffixation
dictionary	song-2018-kanakanavu-dictionary-0532	202	takʉkʉa / rʉkʉpʉ	source_slash_variants	"[""takʉkʉa"",""rʉkʉpʉ""]"	Reader p193 instruction 2 defines slash-separated forms as pronunciation variants or forms whose roots vary under suffixation
dictionary	song-2018-kanakanavu-dictionary-0543	203	tanasa / tanaha	source_slash_variants	"[""tanasa"",""tanaha""]"	Reader p193 instruction 2 defines slash-separated forms as pronunciation variants or forms whose roots vary under suffixation
dictionary	song-2018-kanakanavu-dictionary-0545	203	tanasʉn; puraku	source_semicolon_lexemes	"[""tanasʉn"",""puraku""]"	Reader p193 instruction 2 defines semicolon-separated forms as related words or pronoun case forms
dictionary	song-2018-kanakanavu-dictionary-0566	203	tara-	bound_form_entry_excluded	[]	Appendix 2A prints a terminal hyphen and supplies no unattached surface; entry deleted from the published XML per review decision (exclusion recorded in intermediate/dictionary_ledger.csv)
dictionary	song-2018-kanakanavu-dictionary-0587	203	tavara'ʉ/ tavarʉ'ʉ	source_slash_variants	"[""tavara'ʉ"",""tavarʉ'ʉ""]"	Reader p193 instruction 2 defines slash-separated forms as pronunciation variants or forms whose roots vary under suffixation
dictionary	song-2018-kanakanavu-dictionary-0593	203	ta'ainsu / ta'ensu	source_slash_variants	"[""ta'ainsu"",""ta'ensu""]"	Reader p193 instruction 2 defines slash-separated forms as pronunciation variants or forms whose roots vary under suffixation
dictionary	song-2018-kanakanavu-dictionary-0599	204	ta'ʉnʉ/ ta'ʉʉn	source_slash_variants	"[""ta'ʉnʉ"",""ta'ʉʉn""]"	Reader p193 instruction 2 defines slash-separated forms as pronunciation variants or forms whose roots vary under suffixation
dictionary	song-2018-kanakanavu-dictionary-0609	204	ti'ingai / ti'inge / ti'ingi / ti'iing	source_slash_variants	"[""ti'ingai"",""ti'inge"",""ti'ingi"",""ti'iing""]"	Reader p193 instruction 2 defines slash-separated forms as pronunciation variants or forms whose roots vary under suffixation
dictionary	song-2018-kanakanavu-dictionary-0610	204	ti'ingai / ti'inge / ti'ingi / ti'iing	source_slash_variants	"[""ti'ingai"",""ti'inge"",""ti'ingi"",""ti'iing""]"	Reader p193 instruction 2 defines slash-separated forms as pronunciation variants or forms whose roots vary under suffixation
dictionary	song-2018-kanakanavu-dictionary-0617	204	to'umangʉ/ to'umaang	source_slash_variants	"[""to'umangʉ"",""to'umaang""]"	Reader p193 instruction 2 defines slash-separated forms as pronunciation variants or forms whose roots vary under suffixation
dictionary	song-2018-kanakanavu-dictionary-0624	204	tumataini / tumateni	source_slash_variants	"[""tumataini"",""tumateni""]"	Reader p193 instruction 2 defines slash-separated forms as pronunciation variants or forms whose roots vary under suffixation
dictionary	song-2018-kanakanavu-dictionary-0644	204	umanguru / manguru	source_slash_variants	"[""umanguru"",""manguru""]"	Reader p193 instruction 2 defines slash-separated forms as pronunciation variants or forms whose roots vary under suffixation
dictionary	song-2018-kanakanavu-dictionary-0645	204	umara / mara	source_slash_variants	"[""umara"",""mara""]"	Reader p193 instruction 2 defines slash-separated forms as pronunciation variants or forms whose roots vary under suffixation
dictionary	song-2018-kanakanavu-dictionary-0646	204	umavici / mavici	source_slash_variants	"[""umavici"",""mavici""]"	Reader p193 instruction 2 defines slash-separated forms as pronunciation variants or forms whose roots vary under suffixation
dictionary	song-2018-kanakanavu-dictionary-0651	204	upeni / upeen	source_slash_variants	"[""upeni"",""upeen""]"	Reader p193 instruction 2 defines slash-separated forms as pronunciation variants or forms whose roots vary under suffixation
dictionary	song-2018-kanakanavu-dictionary-0658	204	u'ungu / vu'ungu	source_slash_variants	"[""u'ungu"",""vu'ungu""]"	Reader p193 instruction 2 defines slash-separated forms as pronunciation variants or forms whose roots vary under suffixation
dictionary	song-2018-kanakanavu-dictionary-0667	205	vanai sii / sii	source_slash_variants	"[""vanai sii"",""sii""]"	Reader p193 instruction 2 defines slash-separated forms as pronunciation variants or forms whose roots vary under suffixation
dictionary	song-2018-kanakanavu-dictionary-0679	205	vuanʉ/ vuan	source_slash_variants	"[""vuanʉ"",""vuan""]"	Reader p193 instruction 2 defines slash-separated forms as pronunciation variants or forms whose roots vary under suffixation
dictionary	song-2018-kanakanavu-dictionary-0685	205	vʉcʉkai / vʉcʉke	source_slash_variants	"[""vʉcʉkai"",""vʉcʉke""]"	Reader p193 instruction 2 defines slash-separated forms as pronunciation variants or forms whose roots vary under suffixation
dictionary	song-2018-kanakanavu-dictionary-0696	205	'akia (na)	source_attested_optional_word	"[""'akia na"",""'akia""]"	Reader pp81, 109, and 225 independently attest both 'akia and the spaced surface 'akia na
