# Gloss cells the audited source output blanked to the '_' absent-gloss
# placeholder but which the previously published source carries as real
# glossing. Restored at load time so the corpus keeps both the audited
# source's row realignments AND this glossing. Keyed by source file,
# record id, gloss-row index, cell index; wordform is carried as a witness
# and the restoration is skipped if it no longer matches.
#
# Provenance: Corpora/NTUFormosanCorpus/CodeAndDocs/story as published on
# main at the time of writing. See pipeline/README.md.
source_file	record_id	row	cell	wordform	value
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	109	2	2	makakreng	主焦.用功
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	109	7	1	mita'	1IPL.GEN
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	109	7	2	mita'	1IPL.屬格
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	11	2	1	ma'	too
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	11	2	2	ma'	也
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	11	6	1	kikoso'./	weed.grass
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	11	6	2	kikoso'./	除草
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	110	2	1	'oka'ila	otherwise
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	110	2	2	'oka'ila	否則
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	111	2	1	raam-en	know-PF
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	111	2	2	raam-en	知道-受焦
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	112	2	1	moto:==./	Hakka
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	112	2	2	moto:==./	客家人
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	113	2	1	So:	COND
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	113	2	2	So:	條件詞
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	113	5	1	ma',/	DM
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	113	5	2	ma',/	DM
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	114	2	1	noka==	GEN
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	114	2	2	noka==	屬格
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	12	2	1	a==_	FIL
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	12	2	2	a==_	FIL
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	13	2	1	koza'	how.much
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	13	2	2	koza'	多少
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	14	2	1	sinpan-an==	raise-NMZ
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	14	2	2	sinpan-an==	養-名物化
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	15	2	1	e	FIL
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	15	2	2	e	FIL
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	16	2	1	mato:ol.\	thirty
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	16	2	2	mato:ol.\	三十
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	17	2	1	e_	FIL
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	17	2	2	e_	FIL
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	18	2	1	piza'	how.many
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	18	2	2	piza'	多少
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	19	2	1	to:o'	three
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	19	2	2	to:o'	三
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	20	2	1	to:o'	three
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	20	2	2	to:o'	三
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	21	2	1	'aehae'./	one
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	21	2	2	'aehae'./	一
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	22	2	1	koSa'en	FIL
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	22	2	2	koSa'en	FIL
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	23	2	1	e_	BC
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	23	2	2	e_	BC
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	24	2	1	'aehae'	one
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	24	2	2	'aehae'	一
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	25	2	1	sinkano'on.\	named.what
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	25	2	2	sinkano'on.\	叫什麼
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	26	2	1	'ihi',\	BC
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	26	2	2	'ihi',\	BC
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	27	2	1	mita'	1IPL.GEN
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	27	2	2	mita'	1IPL.屬格
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	28	2	1	[ah].\	BC
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	28	2	2	[ah].\	BC
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	3	2	1	yo==./	DM
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	3	2	2	yo==./	DM
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	30	2	1	ah.\	BC
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	30	2	2	ah.\	BC
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	32	2	1	ai,\	BC
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	32	2	2	ai,\	BC
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	33	2	1	hiza,/	that
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	33	2	2	hiza,/	那個
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	34	2	1	ra==	FS
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	34	2	2	ra==	FS
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	34	5	1	wa'ae'./	deer
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	34	5	2	wa'ae'./	鹿
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	35	2	1	'aehae'	one
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	35	2	2	'aehae'	一
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	35	5	1	koSa'en	FIL
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	35	5	2	koSa'en	補語詞
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	36	2	1	e_	BC
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	36	2	2	e_	BC
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	37	2	1	'aehae'	one
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	37	2	2	'aehae'	一
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	38	2	1	mita'	1IPL.GEN
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	38	2	2	mita'	1IPL.屬格
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	39	2	1	mita'	1IPL.GEN
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	39	2	2	mita'	1IPL.屬格
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	39	7	1	wa'ae'	deer
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	39	7	2	wa'ae'	鹿
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	4	2	1	m-wa:i'	AF-come
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	4	2	2	m-wa:i'	主焦-來
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	40	2	1	'oka'	NEG
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	40	2	2	'oka'	否定
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	41	2	1	isaa	that
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	41	2	2	isaa	那個
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	42	2	1	kama==	KAMA
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	42	2	2	kama==	KAMA
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	42	9	1	hinghae'	same
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	42	9	2	hinghae'	相似
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	42	11	1	ki	with
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	42	11	2	ki	和
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	43	2	1	o:	DM
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	43	2	2	o:	DM
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	44	2	1	kama	KAMA
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	44	2	2	kama	KAMA
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	45	2	1	wa'ae',\	deer
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	45	2	2	wa'ae',\	鹿
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	46	2	1	o:	DM
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	46	2	2	o:	DM
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	47	2	1	so:,\	COND
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	47	2	2	so:,\	條件詞
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	48	2	1	senge:-en	soak-PF
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	48	2	2	senge:-en	泡-受焦
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	49	2	1	pinobae:ah,\	wine
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	49	2	2	pinobae:ah,\	酒
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	5	2	1	a==	FIL
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	5	2	2	a==	FIL
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	50	2	1	o:	DM
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	50	2	2	o:	DM
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	51	2	1	he	BC
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	51	2	2	he	BC
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	52	2	1	ra'oe-oen	drink-PF
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	52	2	2	ra'oe-oen	喝-受焦
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	53	2	1	'am	FUT
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	53	2	2	'am	未來
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	54	2	1	kayzaeh	AF.good
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	54	2	2	kayzaeh	主焦.好
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	55	2	1	o:	DM
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	55	2	2	o:	DM
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	56	2	1	a:	FIL
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	56	2	2	a:	FIL
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	56	6	1	ka	NOM
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	56	6	2	ka	主格
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	57	2	1	nakhara,/	like.that
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	57	2	2	nakhara,/	像那樣
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	58	2	1	ra'oe-en	drink-PF
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	58	2	2	ra'oe-en	喝-受焦
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	59	2	1	o:	DM
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	59	2	2	o:	DM
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	6	2	1	a==	FIL
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	6	2	2	a==	FIL
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	60	2	1	aw	FIL
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	60	2	2	aw	FIL
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	61	2	1	hinghae'	AF.same
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	61	2	2	hinghae'	主焦.一樣
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	62	2	1	pinobae:aeh	wine
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	62	2	2	pinobae:aeh	酒
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	63	2	1	pinobae:aeh	wine
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	63	2	2	pinobae:aeh	酒
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	64	2	1	hiza	there
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	64	2	2	hiza	那裡
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	65	2	1	ka==	FIL
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	65	2	2	ka==	FIL
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	66	2	1	noka	GEN
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	66	2	2	noka	屬格
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	67	6	1	kasi'aelen	food
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	67	6	2	kasi'aelen	食物
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	68	2	1	ah,/	BC
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	68	2	2	ah,/	BC
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	69	2	1	so:	COND
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	69	2	2	so:	條件詞
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	69	5	1	hiza	that
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	69	5	2	hiza	那個
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	7	2	1	niSo'	2SG.GEN
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	7	2	2	niSo'	2SG.屬格
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	70	2	1	pak-wa'isan	CAU-strong
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	70	2	2	pak-wa'isan	使役-強
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	71	2	1	mita'	1IPL.GEN
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	71	2	2	mita'	1IPL.屬格
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	72	2	1	a==y,\	BC
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	72	2	2	a==y,\	BC
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	73	2	1	hayza'	EXIST
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	73	2	2	hayza'	存在
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	74	2	1	'aehae'	one
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	74	2	2	'aehae'	一
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	75	2	1	a==y,\	BC
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	75	2	2	a==y,\	BC
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	77	2	1	paskilkilo'	bear
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	77	2	2	paskilkilo'	生育
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	78	2	1	ka==,/	FIL
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	78	2	2	ka==,/	FIL
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	79	2	1	a==_	FIL
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	79	2	2	a==_	FIL
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	8	2	1	o:	DM
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	8	2	2	o:	DM
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	80	2	1	koSa'en,/	FIL
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	80	2	2	koSa'en,/	FIL
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	81	2	1	SayboSi:	six
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	81	2	2	SayboSi:	六
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	82	2	1	ma==	FIL
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	82	2	2	ma==	FIL
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	83	2	1	isa	there
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	83	2	2	isa	那裡
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	84	2	1	'ihi'./	BC
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	84	2	2	'ihi'./	BC
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	85	2	1	a==y	BC
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	85	2	2	a==y	BC
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	86	2	1	e	FIL
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	86	2	2	e	FIL
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	89	2	1	nisia	3SG.GEN
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	89	2	2	nisia	3SG.屬格
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	9	2	1	tabo	feed
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	9	2	2	tabo	<主焦>餵
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	90	2	1	hini	here
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	90	2	2	hini	這裡
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	91	2	1	a==./	FIL
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	91	2	2	a==./	FIL
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	92	2	1	min'itol	AF.register
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	92	2	2	min'itol	主焦.參選
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	93	2	1	ka	ACC
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	93	2	2	ka	受格
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	94	2	1	kayzaeh	good
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	94	2	2	kayzaeh	好
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	95	2	1	nakhini'an	like.this
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	95	2	2	nakhini'an	像這樣
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	95	7	1	ka	NOM
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	95	7	2	ka	主格
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	96	2	1	hini	this
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	96	2	2	hini	這個
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	97	2	1	nakhini'an	like.this
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	97	2	2	nakhini'an	像這樣
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	98	2	1	'oka'	NEG
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	98	2	2	'oka'	否定
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	99	2	1	mita'	1IPL.GEN
story/Saisiyat_Tong-he/SaiNr-election_lahi_ a taro_ babay.json	99	2	2	mita'	1IPL.屬格
story/Saisiyat_Tong-he/SaiNr-holiday_kalaeh a _oemaw.json	10	2	1	So:	COND
story/Saisiyat_Tong-he/SaiNr-holiday_kalaeh a _oemaw.json	10	2	2	So:	條件詞
story/Saisiyat_Tong-he/SaiNr-holiday_kalaeh a _oemaw.json	100	2	1	si'ael-en	eat-PF
story/Saisiyat_Tong-he/SaiNr-holiday_kalaeh a _oemaw.json	100	2	2	si'ael-en	吃-受焦
story/Saisiyat_Tong-he/SaiNr-holiday_kalaeh a _oemaw.json	101	2	1	a--	FS
story/Saisiyat_Tong-he/SaiNr-holiday_kalaeh a _oemaw.json	101	2	2	a--	FS
story/Saisiyat_Tong-he/SaiNr-holiday_kalaeh a _oemaw.json	103	2	1	uhN,\	BC
story/Saisiyat_Tong-he/SaiNr-holiday_kalaeh a _oemaw.json	103	2	2	uhN,\	BC
story/Saisiyat_Tong-he/SaiNr-holiday_kalaeh a _oemaw.json	104	2	1	hiya'	who
story/Saisiyat_Tong-he/SaiNr-holiday_kalaeh a _oemaw.json	104	2	2	hiya'	誰
story/Saisiyat_Tong-he/SaiNr-holiday_kalaeh a _oemaw.json	107	2	1	eh,\	DM
story/Saisiyat_Tong-he/SaiNr-holiday_kalaeh a _oemaw.json	107	2	2	eh,\	DM
story/Saisiyat_Tong-he/SaiNr-holiday_kalaeh a _oemaw.json	108	2	1	noka	GEN
